dataset,task,basis,gauge,boundary,n,bias_mean_mean,bias_mean_std,bias_std_mean,bias_std_std,bias_norm_mean,bias_norm_std,E_xx_mean,E_xx_std,E_yy_mean,E_yy_std,E_xy_mean,E_xy_std,E_lap_mean,E_lap_std,mixed_ratio_mean,mixed_ratio_std,E_axial_mean,E_axial_std,E_obl_mean,E_obl_std,obl_ratio_mean,obl_ratio_std,dc_mass_ratio_mean,dc_mass_ratio_std,spectral_entropy_mean,spectral_entropy_std,topk_spectral_mass_mean,topk_spectral_mass_std,topk_dct_mass_mean,topk_dct_mass_std,diagonal_atom_ratio_mean,diagonal_atom_ratio_std,low_radial_mass_mean,low_radial_mass_std,mid_radial_mass_mean,mid_radial_mass_std,high_radial_mass_mean,high_radial_mass_std,even_spectral_mass_mean,even_spectral_mass_std,odd_spectral_mass_mean,odd_spectral_mass_std,complex_pair_consistency_mean,complex_pair_consistency_std
cifar10,reconstruction,pruned_toric_PJ,raw,interior_only,48,-0.004750495548554075,0.0030652928025866515,0.05352318077348173,0.02247490040463719,0.8077351494381825,0.3361136461739057,0.10829323506914079,0.07436856573237359,0.14429236515813196,0.13522219133586863,0.03722143851337023,0.029428303858836314,0.19642262750615677,0.1427654635946006,0.12174232661103208,0.024889037671463533,0.10556765149037044,0.10299392987059817,0.6598407881489644,0.518621094596323,0.7822540905326605,0.16538052348483845,1.2147878237797727e-16,1.9756931909034045e-16,0.6408338776479164,0.0812849684708753,0.4903973275795579,0.13322831147070793,0.5893902772416671,0.10142268456841175,0.7932820059359074,0.1572669345983879,0.7097064995517334,0.10028384933858304,0.21840092477699122,0.07241065228757236,0.0718925620506828,0.034152033577442606,0.7545995153486729,0.14596389483181205,0.24540049217951795,0.14596389271965945,-0.016257404039303463,0.15931107326434668
cifar10,reconstruction,pruned_toric_PJ,raw,reflect_padding,48,-0.004750495548554075,0.0030652928025866515,0.05352318077348173,0.02247490040463719,0.8077351494381825,0.3361136461739057,0.4449067815827827,0.3136306188956235,0.4265424668168028,0.3882745773429819,0.03722143894022641,0.02942830477972611,1.1463779819508393,0.8794551193225404,0.039434710439915456,0.008515802420823433,0.10556765149037044,0.10299392987059817,0.6598407881489644,0.518621094596323,0.7822540905326605,0.16538052348483845,1.2147878237797727e-16,1.9756931909034045e-16,0.6408338776479164,0.0812849684708753,0.4903973275795579,0.13322831147070793,0.5893902772416671,0.10142268456841175,0.7932820059359074,0.1572669345983879,0.7097064995517334,0.10028384933858304,0.21840092477699122,0.07241065228757236,0.0718925620506828,0.034152033577442606,0.7545995153486729,0.14596389483181205,0.24540049217951795,0.14596389271965945,-0.016257404039303463,0.15931107326434668
cifar10,reconstruction,relative_2d_table,centered,interior_only,48,-4.32030196340083e-10,1.6645803821884518e-09,0.045862963112692036,0.028737308129802068,0.6879444497947892,0.4310596337490924,0.7076950351086756,0.9516799519336732,0.39588973733286065,0.4142046148289279,0.018582978945535917,0.021285871176842264,1.345777819554011,1.4678738651407461,0.019254163072522108,0.0073797193425924465,0.5564335005474277,1.1623054833722546,0.10264648279796044,0.11477793250528708,0.2333547999151051,0.1414355637170538,1.482387167200233e-16,2.546594309112335e-16,0.5912703294306993,0.11628378506239447,0.570505203679204,0.16314152759938766,0.6955390690515438,0.13804459408289593,0.2333547989061723,0.14143555921650536,0.6707255641619364,0.1494436864664943,0.20144481817260385,0.09384629971354173,0.127829614871492,0.0798203082858856,0.8584174339969953,0.16219092796244955,0.14158256813728562,0.16219092674558128,-0.07332019383708636,0.19900273299573532
cifar10,reconstruction,relative_2d_table,centered,reflect_padding,48,-4.32030196340083e-10,1.6645803821884518e-09,0.045862963112692036,0.028737308129802068,0.6879444497947892,0.4310596337490924,0.9097343490769466,1.1474420625171413,0.8633152438948551,1.3181709199202334,0.018582979052249964,0.021285871614877175,2.2038346330324807,2.69844899017872,0.013567556345757717,0.006862625675249245,0.5564335005474277,1.1623054833722546,0.10264648279796044,0.11477793250528708,0.2333547999151051,0.1414355637170538,1.482387167200233e-16,2.546594309112335e-16,0.5912703294306993,0.11628378506239447,0.570505203679204,0.16314152759938766,0.6955390690515438,0.13804459408289593,0.2333547989061723,0.14143555921650536,0.6707255641619364,0.1494436864664943,0.20144481817260385,0.09384629971354173,0.127829614871492,0.0798203082858856,0.8584174339969953,0.16219092796244955,0.14158256813728562,0.16219092674558128,-0.07332019383708636,0.19900273299573532
cifar10,reconstruction,relative_2d_table,normalized,interior_only,48,-7.678237311005883e-10,2.8401438616665298e-09,0.06666666579743226,3.6731857701512775e-09,0.9999999714394411,3.8454588669543516e-08,1.4318350528677304,1.011923041975339,0.9693942635009686,0.7949619685959992,0.045479663870840646,0.03626386249871285,3.312613509595394,2.7230038330300546,0.019254163053119555,0.007379718602197985,0.7666451971357068,0.14143555381055517,0.23335479386150837,0.1414355488428478,0.2333547976644089,0.1414355523971202,1.482353353823167e-16,2.020066076440014e-16,0.5912703437109789,0.1162837730209252,0.5705052077149352,0.16314153501243275,0.6955390628427267,0.13804458904245492,0.23335479494805136,0.1414355453102095,0.6707255647828182,0.14944369673077082,0.20144481475775441,0.09384629922458376,0.12782961665652692,0.07982031141782431,0.8584174231315652,0.1621909215530794,0.14158256770072816,0.16219093229678827,-0.07332019880414009,0.19900277227781818
cifar10,reconstruction,relative_2d_table,normalized,reflect_padding,48,-7.678237311005883e-10,2.8401438616665298e-09,0.06666666579743226,3.6731857701512775e-09,0.9999999714394411,3.8454588669543516e-08,1.760318240771691,1.0238783837384196,1.5172755519549053,0.8304501269276103,0.04547966274549253,0.036263859030754186,4.493410403529803,2.53854686413371,0.013567556275423462,0.006862624939129581,0.7666451971357068,0.14143555381055517,0.23335479386150837,0.1414355488428478,0.2333547976644089,0.1414355523971202,1.482353353823167e-16,2.020066076440014e-16,0.5912703437109789,0.1162837730209252,0.5705052077149352,0.16314153501243275,0.6955390628427267,0.13804458904245492,0.23335479494805136,0.1414355453102095,0.6707255647828182,0.14944369673077082,0.20144481475775441,0.09384629922458376,0.12782961665652692,0.07982031141782431,0.8584174231315652,0.1621909215530794,0.14158256770072816,0.16219093229678827,-0.07332019880414009,0.19900277227781818
cifar10,reconstruction,relative_2d_table,raw,interior_only,48,-0.03137359605928699,0.04220326881215382,0.045862963035081826,0.028737308145243827,0.8891748618334532,0.7004763405964615,0.7076950247089068,0.9516799464582464,0.3958897391955058,0.4142046142874738,0.0185829791201589,0.021285871232006686,1.345777815207839,1.4678738666031301,0.01925416327624892,0.007379719613791261,1.1786526328263183,3.5709810211555206,0.10264648272035022,0.11477793435999739,0.1446599846628184,0.07976717552534615,2.088914148588957e-15,3.278784250353119e-15,0.591270332535108,0.11628378183807503,0.5705052027478814,0.16314153665428133,0.6955390696724256,0.13804459415491863,0.23335479362867773,0.14143555207148592,0.6707255616784096,0.1494436885178171,0.2014448163099587,0.09384629747470674,0.12782961471627155,0.07982030607999993,0.8584174364805222,0.16219092918307343,0.14158256728357324,0.1621909268041124,-0.07332018638650577,0.19900273293027843
cifar10,reconstruction,relative_2d_table,raw,reflect_padding,48,-0.03137359605928699,0.04220326881215382,0.045862963035081826,0.028737308145243827,0.8891748618334532,0.7004763405964615,0.9097343534231186,1.1474420712078168,0.8633152373755971,1.3181708803267282,0.018582978887328256,0.02128587005597444,2.203834593296051,2.6984489897557946,0.013567556360309633,0.006862625319587432,1.1786526328263183,3.5709810211555206,0.10264648272035022,0.11477793435999739,0.1446599846628184,0.07976717552534615,2.088914148588957e-15,3.278784250353119e-15,0.591270332535108,0.11628378183807503,0.5705052027478814,0.16314153665428133,0.6955390696724256,0.13804459415491863,0.23335479362867773,0.14143555207148592,0.6707255616784096,0.1494436885178171,0.2014448163099587,0.09384629747470674,0.12782961471627155,0.07982030607999993,0.8584174364805222,0.16219092918307343,0.14158256728357324,0.1621909268041124,-0.07332018638650577,0.19900273293027843
cifar10,reconstruction,toric_PJ_R2,centered,interior_only,48,1.229690747376703e-10,5.914318394952584e-10,0.0568745790515095,0.031320132107244485,0.8531186925247312,0.46980198545751783,0.18580592767102644,0.15747548713640777,0.13951165987721956,0.2056010321934368,0.05315480376399743,0.05116688592918196,0.29555150334878516,0.31946378146561105,0.12898157366241017,0.03320316127095899,0.1632086179840068,0.23478571878921412,0.7853167892123262,0.7977767154728389,0.7499719858169556,0.16884651168954198,5.779653201779402e-17,5.523316811929518e-17,0.6857145925362905,0.03906832542219297,0.3879697707792123,0.06550097876945046,0.5617716734608015,0.0604118740318387,0.7499720032016436,0.16884650602195683,0.6872245091944933,0.07508983123745525,0.23854173813015223,0.056538081796156985,0.07423377537634224,0.026516911625580303,0.7309445018569628,0.175162396218678,0.2690554982982576,0.17516239512066653,-0.176826860755682,0.22170397063238845
cifar10,reconstruction,toric_PJ_R2,centered,reflect_padding,48,1.229690747376703e-10,5.914318394952584e-10,0.0568745790515095,0.031320132107244485,0.8531186925247312,0.46980198545751783,0.8374072276055813,0.756558850869705,0.5324146946659312,0.6885251717217014,0.053154803511764236,0.05116688492388093,1.786847674753517,1.8134815153005082,0.03481760287346939,0.00798101208199519,0.1632086179840068,0.23478571878921412,0.7853167892123262,0.7977767154728389,0.7499719858169556,0.16884651168954198,5.779653201779402e-17,5.523316811929518e-17,0.6857145925362905,0.03906832542219297,0.3879697707792123,0.06550097876945046,0.5617716734608015,0.0604118740318387,0.7499720032016436,0.16884650602195683,0.6872245091944933,0.07508983123745525,0.23854173813015223,0.056538081796156985,0.07423377537634224,0.026516911625580303,0.7309445018569628,0.175162396218678,0.2690554982982576,0.17516239512066653,-0.176826860755682,0.22170397063238845
cifar10,reconstruction,toric_PJ_R2,normalized,interior_only,48,1.8626451827689441e-10,8.898342084431557e-10,0.06666666626309355,3.7220551347613954e-09,0.999999980131785,4.0959374364392565e-08,0.21306174357111254,0.05234250254219159,0.15901428647339344,0.08086271023151195,0.053834089116814234,0.012461115601143317,0.3488355924685796,0.10000176033652164,0.12898157412807146,0.033203160799222316,0.2500280143382649,0.16884652233845865,0.7499719696740309,0.16884650734330378,0.7499719789872566,0.16884650914717397,7.826173045661192e-17,1.5187577678075154e-16,0.6857145788768927,0.03906832798151282,0.3879697558780511,0.06550097149616524,0.5617716840157906,0.060411894534156504,0.749971987058719,0.16884649637923588,0.6872244942933321,0.07508982952377048,0.23854172710950175,0.05653807538815996,0.07423377599722396,0.026516912234004653,0.73094450806578,0.17516240191322863,0.2690554929431528,0.1751623818838179,-0.17682686199744543,0.22170397109844683
cifar10,reconstruction,toric_PJ_R2,normalized,reflect_padding,48,1.8626451827689441e-10,8.898342084431557e-10,0.06666666626309355,3.7220551347613954e-09,0.999999980131785,4.0959374364392565e-08,0.8995250339309374,0.22632000906849684,0.6123927378406128,0.23952521007227598,0.05383408969889084,0.012461115518356634,1.9126210659742355,0.34393684036707084,0.034817603533156216,0.007981011801756538,0.2500280143382649,0.16884652233845865,0.7499719696740309,0.16884650734330378,0.7499719789872566,0.16884650914717397,7.826173045661192e-17,1.5187577678075154e-16,0.6857145788768927,0.03906832798151282,0.3879697558780511,0.06550097149616524,0.5617716840157906,0.060411894534156504,0.749971987058719,0.16884649637923588,0.6872244942933321,0.07508982952377048,0.23854172710950175,0.05653807538815996,0.07423377599722396,0.026516912234004653,0.73094450806578,0.17516240191322863,0.2690554929431528,0.1751623818838179,-0.17682686199744543,0.22170397109844683
cifar10,reconstruction,toric_PJ_R2,raw,interior_only,48,-0.0034432666745184783,0.003852417777476457,0.056874579400755465,0.031320132949503185,0.8571527289847533,0.4688512425483384,0.18580592893219242,0.15747548750171353,0.13951165539522967,0.20560101972294148,0.05315480434607404,0.051166887730336855,0.29555150187419105,0.3194637731256573,0.1289815749041736,0.03320316164888372,0.16921548914009085,0.24368669026962078,0.7853167881257832,0.7977767255731631,0.7409918686995903,0.17756965181370618,1.2500146902644966e-16,1.8162005815818705e-16,0.6857145900527636,0.03906832362515089,0.3879697695374489,0.06550097897312718,0.5617716666311026,0.060411868090933345,0.7499720069269339,0.16884649955448655,0.687224505469203,0.07508982897763249,0.2385417390614748,0.05653808352968866,0.07423377603602906,0.02651691039936415,0.7309445012360811,0.17516239775546452,0.26905549682366353,0.17516239229202074,-0.17682686199744543,0.22170396971883138
cifar10,reconstruction,toric_PJ_R2,raw,reflect_padding,48,-0.0034432666745184783,0.003852417777476457,0.056874579400755465,0.031320132949503185,0.8571527289847533,0.4688512425483384,0.8374072305547694,0.7565588590074681,0.5324146839557216,0.6885251415321307,0.053154802890882515,0.05116688455349663,1.7868476949321728,1.8134815301799556,0.034817602524223425,0.007981011424165517,0.16921548914009085,0.24368669026962078,0.7853167881257832,0.7977767255731631,0.7409918686995903,0.17756965181370618,1.2500146902644966e-16,1.8162005815818705e-16,0.6857145900527636,0.03906832362515089,0.3879697695374489,0.06550097897312718,0.5617716666311026,0.060411868090933345,0.7499720069269339,0.16884649955448655,0.687224505469203,0.07508982897763249,0.2385417390614748,0.05653808352968866,0.07423377603602906,0.02651691039936415,0.7309445012360811,0.17516239775546452,0.26905549682366353,0.17516239229202074,-0.17682686199744543,0.22170396971883138
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,centered,interior_only,48,7.329852725936522e-12,3.0740814830489843e-10,0.025032666802871972,0.010137690210830224,0.3754899964357416,0.1520653472292744,0.6999141788110137,0.7369060388537043,0.6230779870723685,0.6310144103742686,0.019846529515537743,0.019694097747221955,1.3684670242170494,1.4701882007033098,0.014970759899976352,0.0020436062120788305,0.025722160945103194,0.027471066129728626,0.13839444890618324,0.1355178437755595,0.8485735133290291,0.029389595730728905,5.031403995405847e-17,7.782637685626909e-17,0.9240890642007192,0.009266503230040728,0.1034578278971215,0.01210139113335281,0.15422855038195848,0.015310380294839882,0.8485734860102335,0.029389613410103595,0.15187567876031002,0.034345000440412,0.28292656503617764,0.037873561721240186,0.5651977254698674,0.048019023533186475,0.526502076536417,0.06674356683919,0.47349792656799156,0.06674357766524405,-0.2809751679499944,0.1530534775581175
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,centered,reflect_padding,48,7.329852725936522e-12,3.0740814830489843e-10,0.025032666802871972,0.010137690210830224,0.3754899964357416,0.1520653472292744,1.1532879838099082,1.2062776364430865,0.9615375890086094,0.992549308786101,0.019846529670758173,0.019694098272916606,3.4890865832567215,3.654440323184964,0.00944676622748375,0.0012981607947976396,0.025722160945103194,0.027471066129728626,0.13839444890618324,0.1355178437755595,0.8485735133290291,0.029389595730728905,5.031403995405847e-17,7.782637685626909e-17,0.9240890642007192,0.009266503230040728,0.1034578278971215,0.01210139113335281,0.15422855038195848,0.015310380294839882,0.8485734860102335,0.029389613410103595,0.15187567876031002,0.034345000440412,0.28292656503617764,0.037873561721240186,0.5651977254698674,0.048019023533186475,0.526502076536417,0.06674356683919,0.47349792656799156,0.06674357766524405,-0.2809751679499944,0.1530534775581175
