dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,reconstruction,axis_additive,426,1,4,8,-0.41887906193733215,0.0,0.3490056097507477,0.01149855088442564,3.08260178565979
cifar10,reconstruction,axis_additive,426,1,5,1,0.8377581238746643,0.0,1.1441556215286255,0.16160982847213745,1.612560510635376
cifar10,reconstruction,axis_additive,426,1,5,2,-0.8377581238746643,0.0,1.1441556215286255,0.16160982847213745,-1.612560510635376
cifar10,reconstruction,axis_additive,426,1,5,3,0.0,0.41887906193733215,1.1075713634490967,0.15644237399101257,-1.6952191591262817
cifar10,reconstruction,axis_additive,426,1,5,4,0.0,-0.41887906193733215,1.1075713634490967,0.15644237399101257,1.6952191591262817
cifar10,reconstruction,axis_additive,426,1,5,5,0.0,0.8377581238746643,0.8249159455299377,0.1165178194642067,1.8255765438079834
cifar10,reconstruction,axis_additive,426,1,5,6,0.0,-0.8377581238746643,0.8249159455299377,0.1165178194642067,-1.8255765438079834
cifar10,reconstruction,axis_additive,426,1,5,7,0.0,-1.2566372156143188,0.17050009965896606,0.024082817137241364,-2.0979881286621094
cifar10,reconstruction,axis_additive,426,1,5,8,0.0,1.2566372156143188,0.17050009965896606,0.024082817137241364,2.0979881286621094
cifar10,reconstruction,axis_additive,426,1,6,1,0.8377581238746643,0.0,4.3982415199279785,0.2809673547744751,0.9133763313293457
cifar10,reconstruction,axis_additive,426,1,6,2,-0.8377581238746643,0.0,4.3982415199279785,0.2809673547744751,-0.9133763313293457
cifar10,reconstruction,axis_additive,426,1,6,3,0.0,0.41887906193733215,1.7998533248901367,0.11497777700424194,2.512241840362549
cifar10,reconstruction,axis_additive,426,1,6,4,0.0,-0.41887906193733215,1.7998533248901367,0.11497777700424194,-2.512241840362549
cifar10,reconstruction,axis_additive,426,1,6,5,0.0,0.8377581238746643,0.957576334476471,0.061171647161245346,-0.7466887831687927
cifar10,reconstruction,axis_additive,426,1,6,6,0.0,-0.8377581238746643,0.957576334476471,0.061171647161245346,0.7466887831687927
cifar10,reconstruction,axis_additive,426,1,6,7,0.0,1.2566372156143188,0.18173953890800476,0.011609839275479317,-0.6854185461997986
cifar10,reconstruction,axis_additive,426,1,6,8,0.0,-1.2566372156143188,0.18173953890800476,0.011609839275479317,0.6854185461997986
cifar10,reconstruction,axis_additive,426,1,7,1,0.8377581238746643,0.0,6.582604885101318,0.24381586909294128,-0.37505701184272766
cifar10,reconstruction,axis_additive,426,1,7,2,-0.8377581238746643,0.0,6.582604885101318,0.24381586909294128,0.37505701184272766
cifar10,reconstruction,axis_additive,426,1,7,3,0.0,0.41887906193733215,4.557142734527588,0.1687939316034317,-2.4334192276000977
cifar10,reconstruction,axis_additive,426,1,7,4,0.0,-0.41887906193733215,4.557142734527588,0.1687939316034317,2.4334192276000977
cifar10,reconstruction,axis_additive,426,1,7,5,0.0,-0.8377581238746643,1.4972734451293945,0.05545813962817192,-1.2699803113937378
cifar10,reconstruction,axis_additive,426,1,7,6,0.0,0.8377581238746643,1.4972734451293945,0.05545813962817192,1.2699803113937378
cifar10,reconstruction,axis_additive,426,1,7,7,0.0,1.2566372156143188,0.22932416200637817,0.00849403440952301,1.7061980962753296
cifar10,reconstruction,axis_additive,426,1,7,8,0.0,-1.2566372156143188,0.22932416200637817,0.00849403440952301,-1.7061980962753296
cifar10,reconstruction,axis_additive,426,2,0,1,0.8377581238746643,0.0,10.971823692321777,0.33286187052726746,1.3000953197479248
cifar10,reconstruction,axis_additive,426,2,0,2,-0.8377581238746643,0.0,10.971823692321777,0.33286187052726746,-1.3000953197479248
cifar10,reconstruction,axis_additive,426,2,0,3,0.0,-0.41887906193733215,2.7235817909240723,0.08262769132852554,2.062837600708008
cifar10,reconstruction,axis_additive,426,2,0,4,0.0,0.41887906193733215,2.7235817909240723,0.08262769132852554,-2.062837600708008
cifar10,reconstruction,axis_additive,426,2,0,5,0.0,-0.8377581238746643,1.5006592273712158,0.04552681744098663,-1.606304407119751
cifar10,reconstruction,axis_additive,426,2,0,6,0.0,0.8377581238746643,1.5006592273712158,0.04552681744098663,1.606304407119751
cifar10,reconstruction,axis_additive,426,2,0,7,-0.41887906193733215,0.0,0.2890357971191406,0.008768732659518719,2.4073646068573
cifar10,reconstruction,axis_additive,426,2,0,8,0.41887906193733215,0.0,0.2890357971191406,0.008768732659518719,-2.4073646068573
cifar10,reconstruction,axis_additive,426,2,1,1,-0.8377581238746643,0.0,4.854053974151611,0.23760730028152466,0.907081663608551
cifar10,reconstruction,axis_additive,426,2,1,2,0.8377581238746643,0.0,4.854053974151611,0.23760730028152466,-0.907081663608551
cifar10,reconstruction,axis_additive,426,2,1,3,0.0,0.41887906193733215,2.5363686084747314,0.12415595352649689,2.250082015991211
cifar10,reconstruction,axis_additive,426,2,1,4,0.0,-0.41887906193733215,2.5363686084747314,0.12415595352649689,-2.250082015991211
cifar10,reconstruction,axis_additive,426,2,1,5,0.0,-0.8377581238746643,1.7338624000549316,0.08487305045127869,0.914089560508728
cifar10,reconstruction,axis_additive,426,2,1,6,0.0,0.8377581238746643,1.7338624000549316,0.08487305045127869,-0.914089560508728
cifar10,reconstruction,axis_additive,426,2,1,7,0.0,-1.2566372156143188,0.35181018710136414,0.017221206799149513,0.795002818107605
cifar10,reconstruction,axis_additive,426,2,1,8,0.0,1.2566372156143188,0.35181018710136414,0.017221206799149513,-0.795002818107605
cifar10,reconstruction,axis_additive,426,2,2,1,0.0,0.41887906193733215,2.87607741355896,0.24205558001995087,2.927175760269165
cifar10,reconstruction,axis_additive,426,2,2,2,0.0,-0.41887906193733215,2.87607741355896,0.24205558001995087,-2.927175760269165
cifar10,reconstruction,axis_additive,426,2,2,3,-0.8377581238746643,0.0,1.8821569681167603,0.15840554237365723,1.3563240766525269
cifar10,reconstruction,axis_additive,426,2,2,4,0.8377581238746643,0.0,1.8821569681167603,0.15840554237365723,-1.3563240766525269
cifar10,reconstruction,axis_additive,426,2,2,5,0.0,-0.8377581238746643,0.8374069929122925,0.07047760486602783,0.3383086621761322
cifar10,reconstruction,axis_additive,426,2,2,6,0.0,0.8377581238746643,0.8374069929122925,0.07047760486602783,-0.3383086621761322
cifar10,reconstruction,axis_additive,426,2,2,7,0.0,-1.2566372156143188,0.11795786768198013,0.009927535429596901,0.3672330975532532
cifar10,reconstruction,axis_additive,426,2,2,8,0.0,1.2566372156143188,0.11795786768198013,0.009927535429596901,-0.3672330975532532
