ridge,train_r2,train_mse,coeff_norm,condition_number,effective_rank,case_idx,target,target_family,model,noise
1e-12,0.9999047457154832,1.7123784821621156e-05,8.791201402786266,3.6040785649606883,12.206720443334543,7,j1_diag_envelope,J1,full_j2,0.01
1e-10,0.9999047457154832,1.7123784821621173e-05,8.791201401904344,3.6040785649606883,12.206720443334543,7,j1_diag_envelope,J1,full_j2,0.01
1e-08,0.999904745715483,1.712378482163963e-05,8.791201313712309,3.6040785649606883,12.206720443334543,7,j1_diag_envelope,J1,full_j2,0.01
1e-06,0.9999047457144582,1.7123785005890297e-05,8.791192494517924,3.6040785649606883,12.206720443334543,7,j1_diag_envelope,J1,full_j2,0.01
1e-12,0.9999027104178553,1.748966861156409e-05,8.740565049514958,2.3990803743296625,6.669419622823753,7,j1_diag_envelope,J1,directional_j2_one,0.01
1e-10,0.9999027104178553,1.748966861156414e-05,8.740565048648754,2.3990803743296625,6.669419622823753,7,j1_diag_envelope,J1,directional_j2_one,0.01
1e-08,0.9999027104178553,1.7489668611582107e-05,8.74056496202846,2.3990803743296625,6.669419622823753,7,j1_diag_envelope,J1,directional_j2_one,0.01
1e-06,0.9999027104168544,1.748966879150681e-05,8.740556300007706,2.3990803743296625,6.669419622823753,7,j1_diag_envelope,J1,directional_j2_one,0.01
1e-12,0.9394258096306031,0.0108893726606731,8.471949630682744,1.0000000000000024,13.0,7,j1_diag_envelope,J1,dct_matched13,0.01
1e-10,0.9394258096306031,0.010889372660673101,8.471949629844021,1.0000000000000024,13.0,7,j1_diag_envelope,J1,dct_matched13,0.01
1e-08,0.939425809630603,0.010889372660673118,8.471949545971722,1.0000000000000024,13.0,7,j1_diag_envelope,J1,dct_matched13,0.01
1e-06,0.9394258096296637,0.010889372660841978,8.47194115875006,1.0000000000000024,13.0,7,j1_diag_envelope,J1,dct_matched13,0.01
1e-12,0.005050706413425865,0.1788612207652611,1.1293077384713328,4.644206429636391,11.90584515507089,7,j1_diag_envelope,J1,coord_shuffle_full_j2,0.01
1e-10,0.005050706413425865,0.1788612207652611,1.129307738029055,4.644206429636391,11.90584515507089,7,j1_diag_envelope,J1,coord_shuffle_full_j2,0.01
1e-08,0.005050706413425865,0.1788612207652611,1.1293076938012014,4.644206429636391,11.90584515507089,7,j1_diag_envelope,J1,coord_shuffle_full_j2,0.01
1e-06,0.005050706413360029,0.17886122076527292,1.1293032710368485,4.644206429636391,11.90584515507089,7,j1_diag_envelope,J1,coord_shuffle_full_j2,0.01
1e-12,0.22936159072374873,0.09528537480704691,3.471703353198225,1.1429230449251742,4.995551150153887,7,j2_time_curvature,J2,axis_j0,0.0
1e-10,0.22936159072374884,0.0952853748070469,3.4717033528545267,1.1429230449251742,4.995551150153887,7,j2_time_curvature,J2,axis_j0,0.0
1e-08,0.22936159072374862,0.09528537480704692,3.4717033184846637,1.1429230449251742,4.995551150153887,7,j2_time_curvature,J2,axis_j0,0.0
1e-06,0.22936159072351936,0.09528537480707527,3.471699881501815,1.1429230449251742,4.995551150153887,7,j2_time_curvature,J2,axis_j0,0.0
1e-12,0.5599386616440721,0.05441126351684879,5.424409780880052,1.0040366077456808,2.999995942844526,7,j2_time_curvature,J2,toric_j0_single,0.0
1e-10,0.559938661644072,0.054411263516848794,5.424409780343036,1.0040366077456808,2.999995942844526,7,j2_time_curvature,J2,toric_j0_single,0.0
1e-08,0.559938661644072,0.054411263516848794,5.42440972664138,1.0040366077456808,2.999995942844526,7,j2_time_curvature,J2,toric_j0_single,0.0
1e-06,0.5599386616435121,0.05441126351691803,5.424404356481121,1.0040366077456808,2.999995942844526,7,j2_time_curvature,J2,toric_j0_single,0.0
1e-12,0.0065139924972028584,0.12283930498528543,0.6088879528166862,1.2031741084560474,12.97924510649851,7,j2_time_curvature,J2,toric_j0_generic_matched13,0.0
1e-10,0.006513992497202747,0.12283930498528545,0.608887952750936,1.2031741084560474,12.97924510649851,7,j2_time_curvature,J2,toric_j0_generic_matched13,0.0
1e-08,0.006513992497202747,0.12283930498528545,0.6088879461759125,1.2031741084560474,12.97924510649851,7,j2_time_curvature,J2,toric_j0_generic_matched13,0.0
1e-06,0.006513992497194976,0.1228393049852864,0.6088872886742756,1.2031741084560474,12.97924510649851,7,j2_time_curvature,J2,toric_j0_generic_matched13,0.0
1e-12,0.9998999429055594,1.2371532006604972e-05,58.61602776630751,31.477440369777803,8.30105842665403,7,j2_time_curvature,J2,toric_j0_cluster_matched13,0.0
1e-10,0.9998999429055593,1.2371532006620073e-05,58.61602668103436,31.477440369777803,8.30105842665403,7,j2_time_curvature,J2,toric_j0_cluster_matched13,0.0
1e-08,0.9998999429043366,1.2371532157797289e-05,58.615918153942786,31.477440369777803,8.30105842665403,7,j2_time_curvature,J2,toric_j0_cluster_matched13,0.0
1e-06,0.9998999306825701,1.237304331476444e-05,58.605067771976834,31.477440369777803,8.30105842665403,7,j2_time_curvature,J2,toric_j0_cluster_matched13,0.0
1e-12,0.560149219108002,0.05438522919695574,5.424584047273774,1.0724208057412667,6.998673001393284,7,j2_time_curvature,J2,full_j1,0.0
1e-10,0.560149219108002,0.05438522919695572,5.42458404673686,1.0724208057412667,6.998673001393284,7,j2_time_curvature,J2,full_j1,0.0
1e-08,0.560149219108002,0.05438522919695574,5.42458399304548,1.0724208057412667,6.998673001393284,7,j2_time_curvature,J2,full_j1,0.0
1e-06,0.5601492191074421,0.05438522919702495,5.424578623912782,1.0724208057412667,6.998673001393284,7,j2_time_curvature,J2,full_j1,0.0
1e-12,1.0,2.814578829554726e-25,7.249069489623318,3.6040785649606883,12.206720443334543,7,j2_time_curvature,J2,full_j2,0.0
1e-10,1.0,2.814280960177958e-21,7.249069487989854,3.6040785649606883,12.206720443334543,7,j2_time_curvature,J2,full_j2,0.0
