case_idx,target,target_family,model,noise,num_features,selected_ridge,condition_number,effective_rank,coeff_norm,r2_vis_clean,r2_vis_train,r2_full,r2_ext,heldout_rms,ext_outer_rms,ext_outer_pred_rms,max_abs_ext_pred,omega_t,omega_f,dir_t,dir_f
10,j2_directional_packet,J2,full_j2,0.0,13,1e-06,3.699648343332712,12.183998578443056,7.4711285661579945,0.9999999999986174,0.9999999999986174,0.9999999999980069,0.9999999999974972,1.549468949838993e-06,3.2175661622597128e-06,1.9861954381382632,6.2867279413457,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,directional_j2_one,0.0,7,1e-06,2.346255739237937,6.685846891273373,8.355970685401912,0.9999999999981589,0.9999999999981589,0.9999999999977549,0.9999999999973662,1.6324396634824185e-06,3.279554713569039e-06,1.9861952426393612,6.286726277652495,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,dct_matched13,0.0,13,1e-06,1.0000000000000029,13.0,8.209277600942416,0.9651956093366183,0.9651956093366183,0.2193053834412233,0.10941828948121934,1.0055775895453243,1.9017531382212036,0.2795529091112749,1.7981976829468536,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,coord_shuffle_full_j2,0.0,13,1e-06,3.7002270555407684,12.158476211486464,2.94692092301633,0.047265165565460454,0.047265165565460454,0.03406747761442919,-0.007346967755610612,1.0602275682154052,2.0032256154168206,0.0976514689800924,0.3946868079297589,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,axis_j0,0.01,5,1e-06,1.3553469480298306,4.977280268546204,3.538268140755042,0.1796526419612694,0.1794275964943285,0.058314149593370446,-0.026751908196865015,1.0540462782819568,2.032366475871505,0.17375451226143473,0.31578383328898746,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,toric_j0_single,0.01,3,1e-06,1.007376097127327,2.9999864980881585,5.6490000219743735,0.4568118491377159,0.45735316575556406,0.3379170651596246,0.2230083094283899,0.8864672068488079,1.7813692271098636,0.27384145883100536,0.38758928110750884,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,toric_j0_generic_matched13,0.01,13,1e-06,1.2031741084560474,12.97924510649851,4.0851662195735745,0.23434824983366753,0.23500646938054437,0.06146911141273115,-0.003292778212756975,1.0557203481879731,2.0047130129620143,0.19533237763607336,0.36874817146346867,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,toric_j0_cluster_matched13,0.01,13,1e-08,30.914216144251675,8.287122299140506,44.66923873308463,0.9780634260598621,0.9779182634477245,0.9031951453896109,0.8270871197448084,0.35060629753418,0.8681635425664911,1.5857723001014037,4.022810450115416,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,full_j1,0.01,7,1e-06,1.1724183564280148,6.9931799122749,5.650136073361127,0.45687618509856676,0.4574265043835404,0.3377364180910827,0.22302497251963538,0.8866048718631313,1.7812986959358685,0.2741109014844964,0.38831568873426947,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,full_j2,0.01,13,1e-06,3.699648343332712,12.183998578443056,7.463272128420901,0.9999969755558302,0.9999060907254868,0.9999974883355564,0.9999976270167361,0.0016871556801492343,0.0030382513598520384,1.9852428760461853,6.2831502277471625,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
