target_family,target,noise,comparison,lhs,rhs,r2_full_margin,r2_ext_margin,heldout_rms_margin,lhs_r2_full,rhs_r2_full,lhs_ext_r2,rhs_ext_r2
J1,j1_diag_envelope,0.0,full_j1_minus_j0_cluster,full_j1,toric_j0_cluster_matched13,0.013738766942228642,0.05702382278543705,0.09993757146663325,0.9999999999989916,0.9862612330567629,0.9999999999989915,0.9429761772135544
J1,j1_diag_envelope,0.0,full_j2_minus_j0_cluster,full_j2,toric_j0_cluster_matched13,0.013738766942212655,0.05702382278540963,0.09993756411320502,0.9999999999989756,0.9862612330567629,0.999999999998964,0.9429761772135544
J1,j1_diag_envelope,0.0,full_j2_minus_dct,full_j2,dct_matched13,1.0891104657321682,1.1426036046231745,0.8877415938783528,0.9999999999989756,-0.08911046573319265,0.999999999998964,-0.14260360462421046
J1,j1_diag_envelope,0.0,full_j2_minus_shuffle,full_j2,coord_shuffle_full_j2,1.0030190658843174,1.0044268821701599,0.7711353660924898,0.9999999999989756,-0.0030190658853417643,0.999999999998964,-0.0044268821711958145
J1,j1_diag_envelope,0.0,full_j2_minus_directional_one,full_j2,directional_j2_one,-1.454392162258955e-14,-1.9095836023552692e-14,-6.1236510170782625e-09,0.9999999999989756,0.9999999999989901,0.999999999998964,0.9999999999989831
J1,j1_diag_envelope,0.01,full_j1_minus_j0_cluster,full_j1,toric_j0_cluster_matched13,0.013750386468635134,0.057053079562732645,0.09916834011642883,0.9999987129422241,0.986248326473589,0.9999988444808688,0.9429457649181362
J1,j1_diag_envelope,0.01,full_j2_minus_j0_cluster,full_j2,toric_j0_cluster_matched13,0.013746220907911333,0.05704438062138861,0.09813820754996953,0.9999945473815003,0.986248326473589,0.9999901455395248,0.9429457649181362
J1,j1_diag_envelope,0.01,full_j2_minus_dct,full_j2,dct_matched13,1.0890889308319003,1.1425338231066293,0.8858943927956284,0.9999945473815003,-0.0890943834504001,0.9999901455395248,-0.14254367756710448
J1,j1_diag_envelope,0.01,full_j2_minus_shuffle,full_j2,coord_shuffle_full_j2,1.0030217449405925,1.0044172278155639,0.7693004149711427,0.9999945473815003,-0.003027197559092268,0.9999901455395248,-0.004427082276038959
J1,j1_diag_envelope,0.01,full_j2_minus_directional_one,full_j2,directional_j2_one,-3.5900446346825987e-06,-6.832334933704054e-06,-0.0008438667396956177,0.9999945473815003,0.999998137426135,0.9999901455395248,0.9999969778744585
J1,j1_freq_envelope,0.0,full_j1_minus_j0_cluster,full_j1,toric_j0_cluster_matched13,0.017851443446116888,0.07314945001303175,0.11323473303565085,0.9999999999989878,0.9821485565528709,0.9999999999989893,0.9268505499859575
J1,j1_freq_envelope,0.0,full_j2_minus_j0_cluster,full_j2,toric_j0_cluster_matched13,0.017851443446097792,0.07314945001300122,0.11323472453755278,0.9999999999989687,0.9821485565528709,0.9999999999989587,0.9268505499859575
