source,table_id,comparison,r2_margin,lhs_r2,rhs_r2
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,J2_minus_J0,0.06548750400543213,0.9744239449501038,0.9089364409446716
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,J2_minus_shuffle,0.89892578125,0.9744239449501038,0.07549816370010376
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,DCT73_minus_J2,-0.007977962493896484,0.9664459824562073,0.9744239449501038
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H0,J1_minus_J0,0.062361717224121094,0.9541490077972412,0.8917872905731201
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H0,J2_minus_J1,0.0197523832321167,0.9739013910293579,0.9541490077972412
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H0,J2_minus_J0,0.08211410045623779,0.9739013910293579,0.8917872905731201
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H0,J2_minus_shuffle,0.8935795426368713,0.9739013910293579,0.08032184839248657
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H0,DCT73_minus_J2,-0.0006595253944396973,0.9732418656349182,0.9739013910293579
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H1,J1_minus_J0,0.04313302040100098,0.9674655199050903,0.9243324995040894
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H1,J2_minus_J1,0.009569108486175537,0.9770346283912659,0.9674655199050903
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H1,J2_minus_J0,0.052702128887176514,0.9770346283912659,0.9243324995040894
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H1,J2_minus_shuffle,0.8979657888412476,0.9770346283912659,0.07906883955001831
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H1,DCT73_minus_J2,-0.002888917922973633,0.9741457104682922,0.9770346283912659
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H2,J1_minus_J0,0.06669396162033081,0.9554254412651062,0.8887314796447754
MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed626/bias_tables.npz,L0H2,J2_minus_J1,0.018745601177215576,0.9741710424423218,0.9554254412651062
