basis,num_features,r2,mse,condition,coeff_norm,order0_energy,order1_energy,order2_energy,source,table_id,target_std,target_norm
fft_top6_J2_coord_shuffle,73,0.033144354820251465,0.00022254361829254776,106428.1484375,1.2776317596435547,90.9342041015625,68.49800109863281,50.81904602050781,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H3,0.015171438455581665,0.625718355178833
dct_top13,13,0.8609040379524231,3.20160725095775e-05,1.0000011920928955,0.023122143000364304,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H3,0.015171438455581665,0.625718355178833
dct_top73,73,0.9609891176223755,8.979239282780327e-06,1.000009536743164,0.024774551391601562,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H3,0.015171438455581665,0.625718355178833
constant,1,0.0,0.00019847021030727774,1.0,9.032490866367482e-10,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
fft_top6_J0,13,0.821270227432251,3.5472541640046984e-05,1.0000001192092896,0.01805533468723297,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
fft_top6_J1,37,0.8899322748184204,2.1845167793799192e-05,162.34019470214844,0.17235496640205383,2.3005332946777344,2.2365643978118896,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
fft_top6_J2,73,0.9272998571395874,1.442881693947129e-05,489638.5,1.1442662477493286,15.48631763458252,10.013836860656738,11.103678703308105,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
fft_top6_J2_coord_shuffle,73,0.028772830963134766,0.00019275966042187065,489117.53125,1.0096611976623535,53.89081954956055,55.47273635864258,53.34246063232422,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
dct_top13,13,0.8688093423843384,2.603743450890761e-05,1.000001072883606,0.021146263927221298,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
dct_top73,73,0.9664459824562073,6.6594725467439275e-06,1.000009536743164,0.02266761288046837,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
