dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,classification,toric_PJ_R2,477,0,5,2,0.8377581238746643,0.41887906193733215,9.651619911193848,0.08945844322443008,2.93266224861145
cifar10,classification,toric_PJ_R2,477,0,5,3,0.41887906193733215,-0.8377581238746643,8.310172080993652,0.0770248994231224,-2.39876389503479
cifar10,classification,toric_PJ_R2,477,0,5,4,-0.41887906193733215,0.8377581238746643,8.310172080993652,0.0770248994231224,2.39876389503479
cifar10,classification,toric_PJ_R2,477,0,5,5,0.8377581238746643,-0.41887906193733215,7.552609443664551,0.07000324130058289,1.4179304838180542
cifar10,classification,toric_PJ_R2,477,0,5,6,-0.8377581238746643,0.41887906193733215,7.552609443664551,0.07000324130058289,-1.4179304838180542
cifar10,classification,toric_PJ_R2,477,0,5,7,-0.41887906193733215,0.41887906193733215,6.077913761138916,0.05633465573191643,-2.728233575820923
cifar10,classification,toric_PJ_R2,477,0,5,8,0.41887906193733215,-0.41887906193733215,6.077913761138916,0.05633465573191643,2.728233575820923
cifar10,classification,toric_PJ_R2,477,0,6,1,-0.41887906193733215,-0.8377581238746643,9.18348217010498,0.11861284077167511,-1.1690951585769653
cifar10,classification,toric_PJ_R2,477,0,6,2,0.41887906193733215,0.8377581238746643,9.18348217010498,0.11861284077167511,1.1690951585769653
cifar10,classification,toric_PJ_R2,477,0,6,3,0.8377581238746643,0.8377581238746643,3.2275145053863525,0.041686221957206726,2.501823902130127
cifar10,classification,toric_PJ_R2,477,0,6,4,-0.8377581238746643,-0.8377581238746643,3.2275145053863525,0.041686221957206726,-2.501823902130127
cifar10,classification,toric_PJ_R2,477,0,6,5,0.8377581238746643,0.0,3.0764427185058594,0.03973499685525894,0.4986580014228821
cifar10,classification,toric_PJ_R2,477,0,6,6,-0.8377581238746643,0.0,3.0764427185058594,0.03973499685525894,-0.4986580014228821
cifar10,classification,toric_PJ_R2,477,0,6,7,-0.41887906193733215,0.8377581238746643,2.732883930206299,0.03529762849211693,-0.09527753293514252
cifar10,classification,toric_PJ_R2,477,0,6,8,0.41887906193733215,-0.8377581238746643,2.732883930206299,0.03529762849211693,0.09527753293514252
cifar10,classification,toric_PJ_R2,477,0,7,1,0.41887906193733215,0.8377581238746643,5.970164775848389,0.06936745345592499,0.8546998500823975
cifar10,classification,toric_PJ_R2,477,0,7,2,-0.41887906193733215,-0.8377581238746643,5.970164775848389,0.06936745345592499,-0.8546998500823975
cifar10,classification,toric_PJ_R2,477,0,7,3,0.41887906193733215,-0.8377581238746643,5.859862804412842,0.06808585673570633,-0.796492338180542
cifar10,classification,toric_PJ_R2,477,0,7,4,-0.41887906193733215,0.8377581238746643,5.859862804412842,0.06808585673570633,0.796492338180542
cifar10,classification,toric_PJ_R2,477,0,7,5,-0.41887906193733215,0.0,3.3461310863494873,0.03887876123189926,-3.002472400665283
cifar10,classification,toric_PJ_R2,477,0,7,6,0.41887906193733215,0.0,3.3461310863494873,0.03887876123189926,3.002472400665283
cifar10,classification,toric_PJ_R2,477,0,7,7,0.8377581238746643,0.0,3.0082316398620605,0.03495270013809204,-0.052372630685567856
cifar10,classification,toric_PJ_R2,477,0,7,8,-0.8377581238746643,0.0,3.0082316398620605,0.03495270013809204,0.052372630685567856
cifar10,classification,toric_PJ_R2,477,1,0,1,-0.41887906193733215,-0.41887906193733215,51.32720947265625,0.19281049072742462,-0.957374095916748
cifar10,classification,toric_PJ_R2,477,1,0,2,0.41887906193733215,0.41887906193733215,51.32720947265625,0.19281049072742462,0.957374095916748
cifar10,classification,toric_PJ_R2,477,1,0,3,-0.41887906193733215,-0.8377581238746643,20.83160400390625,0.0782538503408432,-1.568442463874817
cifar10,classification,toric_PJ_R2,477,1,0,4,0.41887906193733215,0.8377581238746643,20.83160400390625,0.0782538503408432,1.568442463874817
cifar10,classification,toric_PJ_R2,477,1,0,5,0.8377581238746643,0.41887906193733215,20.466102600097656,0.07688084989786148,1.2403745651245117
cifar10,classification,toric_PJ_R2,477,1,0,6,-0.8377581238746643,-0.41887906193733215,20.466102600097656,0.07688084989786148,-1.2403745651245117
cifar10,classification,toric_PJ_R2,477,1,0,7,0.41887906193733215,-0.41887906193733215,13.65520191192627,0.05129572004079819,0.33812662959098816
cifar10,classification,toric_PJ_R2,477,1,0,8,-0.41887906193733215,0.41887906193733215,13.65520191192627,0.05129572004079819,-0.33812662959098816
cifar10,classification,toric_PJ_R2,477,1,1,1,-0.41887906193733215,-0.41887906193733215,37.227203369140625,0.1865285187959671,-1.1464465856552124
cifar10,classification,toric_PJ_R2,477,1,1,2,0.41887906193733215,0.41887906193733215,37.227203369140625,0.1865285187959671,1.1464465856552124
cifar10,classification,toric_PJ_R2,477,1,1,3,0.41887906193733215,0.8377581238746643,19.699913024902344,0.09870727360248566,1.7812066078186035
cifar10,classification,toric_PJ_R2,477,1,1,4,-0.41887906193733215,-0.8377581238746643,19.699913024902344,0.09870727360248566,-1.7812066078186035
cifar10,classification,toric_PJ_R2,477,1,1,5,-0.8377581238746643,-0.41887906193733215,12.008755683898926,0.06017039343714714,-1.1313745975494385
cifar10,classification,toric_PJ_R2,477,1,1,6,0.8377581238746643,0.41887906193733215,12.008755683898926,0.06017039343714714,1.1313745975494385
cifar10,classification,toric_PJ_R2,477,1,1,7,0.41887906193733215,-0.41887906193733215,9.38092041015625,0.04700351133942604,0.4251011908054352
cifar10,classification,toric_PJ_R2,477,1,1,8,-0.41887906193733215,0.41887906193733215,9.38092041015625,0.04700351133942604,-0.4251011908054352
cifar10,classification,toric_PJ_R2,477,1,2,1,-0.8377581238746643,-0.41887906193733215,23.07147979736328,0.14852575957775116,-0.398112952709198
cifar10,classification,toric_PJ_R2,477,1,2,2,0.8377581238746643,0.41887906193733215,23.07147979736328,0.14852575957775116,0.398112952709198
cifar10,classification,toric_PJ_R2,477,1,2,3,-0.41887906193733215,-0.41887906193733215,7.926211833953857,0.051026057451963425,-0.5355712175369263
cifar10,classification,toric_PJ_R2,477,1,2,4,0.41887906193733215,0.41887906193733215,7.926211833953857,0.051026057451963425,0.5355712175369263
