dataset,task,basis,seed,step,metric,train_score,test_score,train_loss,test_loss,elapsed_sec
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,5000,masked_patch_r2,0.8636029958724976,0.8625870943069458,0.13707393407821655,0.1368173211812973,452.97136187553406
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,6000,masked_patch_r2,0.8647657632827759,0.8646352887153625,0.1360589563846588,0.13495206832885742,543.3808968067169
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,7000,masked_patch_r2,0.86501544713974,0.8641365170478821,0.135789155960083,0.1352740079164505,633.9266214370728
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,8000,masked_patch_r2,0.8667947053909302,0.8657174110412598,0.13374897837638855,0.13384099304676056,724.4629731178284
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,9000,masked_patch_r2,0.8683359026908875,0.8665844798088074,0.13257449865341187,0.1327170431613922,814.9627859592438
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,9999,masked_patch_r2,0.8682131767272949,0.8669551014900208,0.13236460089683533,0.13235703110694885,905.3161406517029
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,0,masked_patch_r2,-0.5257779359817505,-0.5331844091415405,1.5332622528076172,1.5270494222640991,0.5174825191497803
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,1000,masked_patch_r2,0.7510200142860413,0.7525830268859863,0.24993076920509338,0.24744434654712677,90.52501773834229
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,2000,masked_patch_r2,0.8242047429084778,0.8237983584403992,0.17618227005004883,0.17554114758968353,180.87017369270325
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,3000,masked_patch_r2,0.8470777273178101,0.8482102155685425,0.1526789665222168,0.15130388736724854,271.2931423187256
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,4000,masked_patch_r2,0.8565800189971924,0.8560473322868347,0.14464128017425537,0.1435375213623047,361.772588968277
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,5000,masked_patch_r2,0.8592676520347595,0.8571944832801819,0.14134448766708374,0.14237724244594574,452.4170696735382
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,6000,masked_patch_r2,0.8608821630477905,0.8616616725921631,0.14028361439704895,0.13815484941005707,543.0389876365662
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,7000,masked_patch_r2,0.8635707497596741,0.8611730337142944,0.13746494054794312,0.1384761780500412,633.576292514801
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,8000,masked_patch_r2,0.8655202388763428,0.8627543449401855,0.13567665219306946,0.1365632563829422,724.2477533817291
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,9000,masked_patch_r2,0.8654816150665283,0.8644935488700867,0.13509486615657806,0.1350335329771042,814.8481273651123
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,626,9999,masked_patch_r2,0.8659989833831787,0.863609790802002,0.13486739993095398,0.13599219918251038,905.3763496875763
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J0_atoms108,443,0,masked_patch_r2,-0.6761671304702759,-0.6766583919525146,1.684325933456421,1.6724720001220703,0.5087776184082031
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J0_atoms108,443,1000,masked_patch_r2,0.7300690412521362,0.7307985424995422,0.2716602683067322,0.2687179744243622,90.80334639549255
