subset_size,subset_seed,comparison,lhs,rhs,r2_margin,lhs_r2,rhs_r2
192,404,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.058680176734924316,0.9001873731613159,0.8415071964263916
192,404,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.13087409734725952,0.9001873731613159,0.7693132758140564
192,404,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,1.1508967876434326,0.9001873731613159,-0.2507094144821167
192,404,DCT73_minus_J2,dct_top73,fft_top6_J2,0.0986664891242981,0.998853862285614,0.9001873731613159
192,404,DCT13_minus_J0,dct_top13,fft_top6_J0,0.12913113832473755,0.898444414138794,0.7693132758140564
192,505,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.07486855983734131,0.8126858472824097,0.7378172874450684
192,505,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.06754261255264282,0.8802284598350525,0.8126858472824097
192,505,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.14241117238998413,0.8802284598350525,0.7378172874450684
192,505,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,0.8482906818389893,0.8802284598350525,0.03193777799606323
192,505,DCT73_minus_J2,dct_top73,fft_top6_J2,0.11832904815673828,0.9985575079917908,0.8802284598350525
192,505,DCT13_minus_J0,dct_top13,fft_top6_J0,0.14298361539840698,0.8808009028434753,0.7378172874450684
256,101,J1_minus_J0,fft_top6_J1,fft_top6_J0,0.07060587406158447,0.8335948586463928,0.7629889845848083
256,101,J2_minus_J1,fft_top6_J2,fft_top6_J1,0.06031006574630737,0.8939049243927002,0.8335948586463928
256,101,J2_minus_J0,fft_top6_J2,fft_top6_J0,0.13091593980789185,0.8939049243927002,0.7629889845848083
256,101,J2_minus_shuffle,fft_top6_J2,fft_top6_J2_coord_shuffle,0.8700991868972778,0.8939049243927002,0.023805737495422363
256,101,DCT73_minus_J2,dct_top73,fft_top6_J2,0.10492295026779175,0.9988278746604919,0.8939049243927002
256,101,DCT13_minus_J0,dct_top13,fft_top6_J0,0.13381600379943848,0.8968049883842468,0.7629889845848083
