basis,num_features,r2,mse,condition,coeff_norm,order0_energy,order1_energy,order2_energy,subset_size,subset_seed,actual_subset_size
fft_top6_J1,37,0.8126858472824097,0.0034923837520182133,112.51338195800781,0.9657121300697327,2.1245806217193604,1.8914521932601929,0.0,192,505,192
fft_top6_J2,73,0.8802284598350525,0.002233084524050355,208805.671875,26.60660743713379,79.5604248046875,36.820220947265625,52.62175750732422,192,505,192
fft_top6_J2_coord_shuffle,73,0.03193777799606323,0.01804906502366066,208743.578125,57.09623336791992,619.5892333984375,256.13348388671875,422.7281799316406,192,505,192
dct_top13,13,0.8808009028434753,0.002222411334514618,1.0000028610229492,0.2003055065870285,1.0,0.0,0.0,192,505,192
dct_top73,73,0.9985575079917908,2.6894162147073075e-05,1.0000097751617432,0.21714971959590912,1.0,0.0,0.0,192,505,192
constant,1,0.0,0.02049141749739647,1.0,0.02907051146030426,1.0,0.0,0.0,256,101,256
fft_top6_J0,13,0.7629889845848083,0.004856691230088472,1.0000001192092896,0.17920538783073425,1.0,0.0,0.0,256,101,256
fft_top6_J1,37,0.8335948586463928,0.003409877186641097,112.51338195800781,1.0794168710708618,2.2427337169647217,1.9973607063293457,0.0,256,101,256
fft_top6_J2,73,0.8939049243927002,0.0021740386728197336,208805.671875,24.987884521484375,73.01431274414062,31.861513137817383,49.272796630859375,256,101,256
fft_top6_J2_coord_shuffle,73,0.023805737495422363,0.020003603771328926,209047.15625,70.76164245605469,760.4468994140625,294.49371337890625,529.32666015625,256,101,256
dct_top13,13,0.8968049883842468,0.002114612376317382,1.0000025033950806,0.21291549503803253,1.0,0.0,0.0,256,101,256
dct_top73,73,0.9988278746604919,2.4018077965592965e-05,1.0000091791152954,0.22797833383083344,1.0,0.0,0.0,256,101,256
