protocol,comparison,frequency_source,fit_target,order,directional_atom_budget,full_atom_budget,directional_num_features,full_num_features,directional_target_fit_r2,full_target_fit_r2,delta_target_fit_r2_full_minus_directional,directional_table_fit_r2,full_table_fit_r2,delta_table_fit_r2_full_minus_directional,directional_condition_number,full_condition_number,condition_ratio_full_over_directional,directional_coeff_norm,full_coeff_norm,coeff_norm_ratio_full_over_directional
matched,matched_atom,generic,oblique_residual,2,108,108,91.0,97.0,0.5593780446446408,0.6257722925722862,0.06639424792764537,-0.5902515699280652,-0.5739583925652005,0.01629317736286462,2455409110491.36,2040870.334036567,8.311732351714545e-07,1.5031239155895133,134.4096155672591,89.42018297576266
matched,matched_atom,generic,oblique_residual,2,54,54,37.0,49.0,0.23199522375708617,0.4035029544512028,0.17150773069411665,-0.663106140500182,-0.624544614654403,0.03856152584577899,2679340007152.7417,10017.613235259747,3.7388361344647626e-09,73.44014243998255,46.41906676984494,0.6320666767194789
matched,matched_atom,table_informed,axis_plus_residual,1,108,108,101.0,103.0,0.45888192667502353,0.6052401798563276,0.14635825318130408,0.8703908849993122,0.9023565716949736,0.031965686695661466,2826291897197.1577,2312516653760.919,0.818215788699762,0.27887305296629616,2.0458969332587595,7.336301989371562
matched,matched_atom,table_informed,axis_plus_residual,1,54,54,51.0,49.0,0.351395344068629,0.411457854442401,0.06006251037377203,0.8461531577539088,0.8598963827839935,0.013743225030084738,2395495107274.652,2034691337840.863,0.8493823809791562,0.17615318717053166,0.2133159684262331,1.2109685430767974
matched,matched_atom,table_informed,axis_plus_residual,2,108,108,91.0,97.0,0.48292438488727757,0.5440088141807093,0.061084429293431775,0.8744263641551484,0.8886833284194279,0.01425696426427947,3162245357169.252,2867484440403.7935,0.9067874616062936,4.884929345612411,25.375254907870517,5.194600190207927
matched,matched_atom,table_informed,axis_plus_residual,2,54,54,37.0,49.0,0.23266032817084792,0.395090468069764,0.16243013989891608,0.816990327623579,0.854424988178803,0.03743466055522393,2660734224672.6133,2444879107040.463,0.9188738523259646,0.11102584241958931,0.47655130823948094,4.292255729422852
matched,matched_atom,table_informed,full_table,1,108,108,101.0,103.0,0.7697144626692479,0.8452964309388271,0.07558196826957919,0.7697144626692479,0.8452964309388271,0.07558196826957919,3198518104138.058,2590656434879.613,0.8099552200526772,48.80557283114664,43.71623219773645,0.8957221411780606
matched,matched_atom,table_informed,full_table,1,54,54,51.0,49.0,0.6948883730847081,0.7466428897578253,0.05175451667311726,0.6948883730847081,0.7466428897578253,0.05175451667311726,2704579531985.9624,2293648360074.781,0.8480609769277384,28.087685040803127,40.73183731901724,1.4501671198550499
matched,matched_atom,table_informed,full_table,2,108,108,91.0,97.0,0.7714439791434957,0.8154516691752415,0.04400769003174576,0.7714439791434957,0.8154516691752415,0.04400769003174576,3467531314143.857,3103067290964.392,0.8948923628482207,88.02523227492013,69.66583063680271,0.7914302392207567
matched,matched_atom,table_informed,full_table,2,54,54,37.0,49.0,0.5710840145069975,0.700796123130445,0.1297121086234475,0.5710840145069975,0.700796123130445,0.1297121086234475,2920168190301.8027,2627191545657.024,0.8996713115300049,5.129044611650611,74.40510475775034,14.506620704514704
matched,matched_atom,table_informed,oblique_residual,1,108,108,101.0,103.0,0.45888192667502353,0.6052401798563276,0.14635825318130408,-0.612185227043874,-0.5786422828406484,0.033542944203225566,2826291897197.1577,2312516653760.919,0.818215788699762,0.27887305296629616,2.0458969332587595,7.336301989371562
matched,matched_atom,table_informed,oblique_residual,1,54,54,51.0,49.0,0.351395344068629,0.411457854442401,0.06006251037377203,-0.638139278679782,-0.6279254448284702,0.010213833851311804,2395495107274.652,2034691337840.863,0.8493823809791562,0.17615318717053166,0.2133159684262331,1.2109685430767974
matched,matched_atom,table_informed,oblique_residual,2,108,108,91.0,97.0,0.48292438488727757,0.5440088141807093,0.061084429293431775,-0.6086603656966877,-0.5929014872652546,0.015758878431433088,3162245357169.252,2867484440403.7935,0.9067874616062936,4.884929345612411,25.375254907870517,5.194600190207927
matched,matched_atom,table_informed,oblique_residual,2,54,54,37.0,49.0,0.23266032817084792,0.395090468069764,0.16243013989891608,-0.656966271737445,-0.6275935185031432,0.029372753234301885,2660734224672.6133,2444879107040.463,0.9188738523259646,0.11102584241958931,0.47655130823948094,4.292255729422852
