dataset,task,basis,seed,step,metric,train_score,test_score,train_loss,test_loss,elapsed_sec
cifar10,reconstruction,pruned_toric_PJ,460,0,masked_patch_r2,-0.5731630325317383,-0.5754798650741577,1.579451560974121,1.5711069107055664,0.5077047348022461
cifar10,reconstruction,pruned_toric_PJ,460,1000,masked_patch_r2,0.5627566576004028,0.5691887736320496,0.437979519367218,0.4303426742553711,90.30443572998047
cifar10,reconstruction,pruned_toric_PJ,460,2000,masked_patch_r2,0.5938395857810974,0.5952987670898438,0.4090699851512909,0.4032507538795471,180.85891246795654
cifar10,reconstruction,pruned_toric_PJ,460,3000,masked_patch_r2,0.6422310471534729,0.6393193006515503,0.3607819378376007,0.3587193191051483,270.9466943740845
cifar10,reconstruction,pruned_toric_PJ,460,4000,masked_patch_r2,0.6641992330551147,0.6586622595787048,0.33802178502082825,0.33905142545700073,361.0855951309204
cifar10,reconstruction,pruned_toric_PJ,460,5000,masked_patch_r2,0.6673963069915771,0.6659701466560364,0.33494043350219727,0.33313578367233276,451.3476359844208
cifar10,reconstruction,pruned_toric_PJ,460,6000,masked_patch_r2,0.6676983833312988,0.6675016283988953,0.33280888199806213,0.3306635022163391,541.496767282486
cifar10,reconstruction,pruned_toric_PJ,460,7000,masked_patch_r2,0.6765838265419006,0.6705072522163391,0.32574817538261414,0.32883507013320923,631.5994389057159
cifar10,reconstruction,pruned_toric_PJ,460,8000,masked_patch_r2,0.6748635768890381,0.6718043088912964,0.3258635103702545,0.3273733854293823,721.9080185890198
cifar10,reconstruction,pruned_toric_PJ,460,9000,masked_patch_r2,0.6771074533462524,0.6742299795150757,0.3240315318107605,0.3243350088596344,812.2041711807251
cifar10,reconstruction,pruned_toric_PJ,460,9999,masked_patch_r2,0.6806628704071045,0.6765164732933044,0.32153475284576416,0.32294121384620667,902.5120079517365
cifar10,reconstruction,relative_2d_table,477,0,masked_patch_r2,-0.49350762367248535,-0.497867226600647,1.5002847909927368,1.4910831451416016,0.5085806846618652
cifar10,reconstruction,relative_2d_table,477,1000,masked_patch_r2,0.6978431940078735,0.6992565393447876,0.30276715755462646,0.2999856472015381,90.5981056690216
cifar10,reconstruction,relative_2d_table,477,2000,masked_patch_r2,0.792770504951477,0.7931386232376099,0.2078056037425995,0.20628304779529572,181.30691981315613
cifar10,reconstruction,relative_2d_table,477,3000,masked_patch_r2,0.8182398676872253,0.8175684213638306,0.18312470614910126,0.1815546602010727,271.6211853027344
cifar10,reconstruction,relative_2d_table,477,4000,masked_patch_r2,0.8297988176345825,0.8278645277023315,0.17061953246593475,0.171630397439003,362.1098368167877
cifar10,reconstruction,relative_2d_table,477,5000,masked_patch_r2,0.8321940302848816,0.8323502540588379,0.16841861605644226,0.1674432009458542,452.6048641204834
cifar10,reconstruction,relative_2d_table,477,6000,masked_patch_r2,0.8351156115531921,0.8328803181648254,0.1659255027770996,0.16639581322669983,543.03870677948
