method,basis,extension,eval_resolution,eval_side,n,score_mean,score_std,loss_mean,bias_rms_all_mean,bias_max_all_mean,bias_rms_near_r_mean,bias_max_near_r_mean,bias_rms_beyond_train_radius_mean,bias_max_beyond_train_radius_mean
toric_pj,table_informed_toric_PJ_R0_top220,functional,48,12,3,0.7952672243118286,0.021569352787581604,0.21740002433458963,0.365788737932841,2.105861028035482,0.22859054803848267,1.4906675815582275,0.3990929325421651,2.105861028035482
toric_pj,table_informed_toric_PJ_R0_top220,functional,64,16,3,0.5964402755101522,0.01563978321187824,0.4797444740931193,0.34283653895060223,2.1058616638183594,0.22859054803848267,1.490668813387553,0.3556313415368398,2.1058616638183594
toric_pj,table_informed_toric_PJ_R0_top220,no_pos,32,8,3,0.27758463223775226,0.004570002452393653,0.7256248990694681,0.0,0.0,0.0,0.0,0.0,0.0
toric_pj,table_informed_toric_PJ_R0_top220,no_pos,40,10,3,0.2729228337605794,0.004132159116534416,0.7561136484146118,0.0,0.0,0.0,0.0,0.0,0.0
toric_pj,table_informed_toric_PJ_R0_top220,no_pos,48,12,3,0.2690959970156352,0.004980551511109404,0.7755637168884277,0.0,0.0,0.0,0.0,0.0,0.0
toric_pj,table_informed_toric_PJ_R0_top220,no_pos,64,16,3,0.2420613169670105,0.004028587472835781,0.9011311133702596,0.0,0.0,0.0,0.0,0.0,0.0
toric_pj,table_informed_toric_PJ_R0_top220,radial_truncate_r4,32,8,3,0.8627938826878866,0.0021462167240333036,0.13797188301881155,0.106675590078036,1.4906686147054036,0.22859054803848267,1.4906686147054036,0.0,0.0
toric_pj,table_informed_toric_PJ_R0_top220,radial_truncate_r4,40,10,3,0.8645579814910889,0.0010464466963725002,0.14105096956094107,0.08421757320562999,1.4906678597132366,0.2285905530055364,1.4906678597132366,0.0,0.0
toric_pj,table_informed_toric_PJ_R0_top220,radial_truncate_r4,48,12,3,0.8572747310002645,0.0022190978483944326,0.15163812041282654,0.06957103312015533,1.4906675815582275,0.22859054803848267,1.4906675815582275,0.0,0.0
toric_pj,table_informed_toric_PJ_R0_top220,radial_truncate_r4,64,16,3,0.73891148964564,0.003944439005494004,0.3105681935946147,0.05161722004413605,1.490668813387553,0.22859054803848267,1.490668813387553,0.0,0.0
toric_pj,table_informed_toric_PJ_R0_top220,table_clamp,32,8,3,0.8249939481417338,0.014467541056778662,0.17588908970355988,0.3378935555617015,2.1058599948883057,0.2285905530055364,1.4906685749689739,0.4506186743577321,2.1058599948883057
toric_pj,table_informed_toric_PJ_R0_top220,table_clamp,40,10,3,0.8085660735766093,0.01980125068085216,0.1992289274930954,0.3616778949896495,2.1058600743611655,0.2285905530055364,1.4906678199768066,0.417575865983963,2.1058600743611655
toric_pj,table_informed_toric_PJ_R0_top220,table_clamp,48,12,3,0.7921985189119974,0.02176420704728299,0.22064683338006338,0.3658864498138428,2.105861186981201,0.2285905530055364,1.490667502085368,0.3992176155249278,2.105861186981201
toric_pj,table_informed_toric_PJ_R0_top220,table_clamp,64,16,3,0.6637794971466064,0.022925384375522564,0.39997202157974243,0.359495609998703,2.105860948562622,0.22859055797259012,1.490668773651123,0.3745941420396169,2.105860948562622
