checkpoint,method,basis,seed,state,extension,dataset,train_resolution,eval_resolution,train_side,eval_side,patch_size,test_count,score,loss,bias_rms_all,bias_max_all,bias_rms_near_r,bias_max_near_r,bias_rms_beyond_train_radius,bias_max_beyond_train_radius
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,table_clamp,tiny-imagenet,32,40,8,10,4,10000,0.8297308087348938,0.17720894515514374,0.03057013265788555,0.32211652398109436,0.06134267523884773,0.26285549998283386,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,radial_truncate_r4,tiny-imagenet,32,40,8,10,4,10000,0.8062744140625,0.20175223052501678,0.018371079117059708,0.2362772524356842,0.04986435920000076,0.2362772524356842,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,functional,tiny-imagenet,32,48,8,12,4,10000,0.7717397212982178,0.2424267679452896,0.03432375192642212,0.3122587502002716,0.05166056379675865,0.2453131526708603,0.022711291909217834,0.3122587502002716
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,no_pos,tiny-imagenet,32,48,8,12,4,10000,0.23648697137832642,0.8097226023674011,0.0,0.0,0.0,0.0,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,table_clamp,tiny-imagenet,32,48,8,12,4,10000,0.7949451804161072,0.21757759153842926,0.02525359019637108,0.3221166729927063,0.06134267896413803,0.26285549998283386,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,radial_truncate_r4,tiny-imagenet,32,48,8,12,4,10000,0.7722510695457458,0.24192972481250763,0.01572278141975403,0.2453131526708603,0.05166056379675865,0.2453131526708603,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,functional,tiny-imagenet,32,64,8,16,4,10000,0.6513004899024963,0.4148286283016205,0.03459231182932854,0.3077653646469116,0.0582195445895195,0.24124643206596375,0.031231902539730072,0.3077653646469116
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,no_pos,tiny-imagenet,32,64,8,16,4,10000,0.2141980528831482,0.93490070104599,0.0,0.0,0.0,0.0,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,table_clamp,tiny-imagenet,32,64,8,16,4,10000,0.5835453271865845,0.4956825077533722,0.01873653382062912,0.32211676239967346,0.06134267523884773,0.26285549998283386,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed526_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,526,best,radial_truncate_r4,tiny-imagenet,32,64,8,16,4,10000,0.6591013669967651,0.4056154191493988,0.013146349228918552,0.24124643206596375,0.0582195445895195,0.24124643206596375,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,functional,tiny-imagenet,32,32,8,8,4,10000,0.8411718010902405,0.1592738777399063,0.03935389220714569,0.30308181047439575,0.06280439347028732,0.249940425157547,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,no_pos,tiny-imagenet,32,32,8,8,4,10000,0.23955798149108887,0.7627097964286804,0.0,0.0,0.0,0.0,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,table_clamp,tiny-imagenet,32,32,8,8,4,10000,0.8412060737609863,0.1592116802930832,0.03935389220714569,0.30308181047439575,0.06280439347028732,0.2499404102563858,0.0,0.0
