dataset,task,teacher_basis,teacher_seed,layer,head,fit_target,frequency_source,order,phase_chart,jet_chart,chart_scale,num_centers,num_features,selected_ridge,visible_target_r2,visible_table_r2,full_table_r2,full_visible_gap,heldout_rms,extended_outer_pred_rms,extended_outer_max_abs,condition_number,effective_rank,coeff_norm,phase_grad_mean_full,phase_grad_mean_ext,omegas
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,asinh,raw,8.0,17,103,1e-08,0.8164447946562803,0.9654257441308124,-137.89967762011634,-138.86510336424715,0.47679428423437975,1.7051791679900865,4.004370790950987,2380216376068.702,46.08792037249862,2.880876558982363,0.8925002325519903,0.7133834848743236,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,asinh,raw,16.0,17,103,1e-08,0.8266587526978945,0.9673496339933016,-232.55239982338193,-233.51974945737524,0.618271302734405,1.2282608674067081,3.1912541305518016,2379757003878.852,45.92272197322687,2.9802711644838182,0.9667082177043299,0.8759811678340105,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,asinh,bounded,2.0,17,103,1e-08,0.7642517950107901,0.9555947283285393,-8.661039254547616,-9.616633982876156,0.12567045843671104,0.40690052990965037,1.1826553378510039,2650761685185.0713,39.912151466245405,3.9671391755779135,0.5421049778906628,0.340262483203028,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,asinh,bounded,4.0,17,103,1e-08,0.7754192320057798,0.9576982144342305,-15.571566967593732,-16.529265182027963,0.16463604441522642,0.9702955949461495,2.4685616632918133,2471310694446.2266,44.82081875981638,2.3073984715363594,0.7396280872624377,0.5150866347764183,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,asinh,bounded,8.0,17,103,1e-08,0.816899067437687,0.9655113104504891,-109.41606930347137,-110.38158061392187,0.4251016432275174,1.291711853634915,3.1141926498385315,2374687414355.7017,46.1568438901546,2.675214058058054,0.8925002325519903,0.7133834848743236,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,asinh,bounded,16.0,17,103,1e-08,0.8268989787975811,0.9673948827162756,-217.65217704804763,-218.6195719307639,0.5982232248872079,1.1429474761082519,3.01718130323394,2378103815061.251,45.941566141759495,2.924746914408858,0.9667082177043299,0.8759811678340105,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,2,raw,raw,2.0,8,97,1e-08,0.6785648952155607,0.9394548384648327,-6.2490977487888,-7.188552587253632,0.10880256305506465,1.0761690600375045,2.769150826565899,2805941748574.492,40.08795033633118,1.4137788483216576,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,2,raw,raw,4.0,8,97,1e-08,0.6785648952155607,0.9394548384648327,-6.2490977487888,-7.188552587253632,0.10880256305506465,1.0761690600375045,2.769150826565899,2805941748574.492,40.08795033633118,1.4137788483216576,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,2,raw,raw,8.0,8,97,1e-08,0.6785648952155607,0.9394548384648327,-6.2490977487888,-7.188552587253632,0.10880256305506465,1.0761690600375045,2.769150826565899,2805941748574.492,40.08795033633118,1.4137788483216576,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,2,raw,raw,16.0,8,97,1e-08,0.6785648952155607,0.9394548384648327,-6.2490977487888,-7.188552587253632,0.10880256305506465,1.0761690600375045,2.769150826565899,2805941748574.492,40.08795033633118,1.4137788483216576,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,2,raw,bounded,2.0,8,97,1e-08,0.6838264612700836,0.9404459012391139,-0.4390488676300983,-1.379494768869212,0.04825626135156498,0.1892543991718152,0.4816425137765946,2782188001598.239,40.27601135610364,0.8310750323008258,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,2,raw,bounded,4.0,8,97,1e-08,0.6813882565324254,0.9399866436860338,-1.6963152218561461,-2.6363018655421797,0.06622937316667245,0.3151185943834434,0.8221674597360498,2792576481924.441,40.226816009249525,0.9217387291626987,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,2,raw,bounded,8.0,8,97,1e-08,0.6794626960019252,0.9396239472299542,-3.9088730819181645,-4.848497029148119,0.08948541251552199,0.5815624974285123,1.4954959232193985,2801203896814.1953,40.14143692173359,1.166890705302118,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318]]"
