ridge,train_r2,train_mse,coeff_norm,condition_number,effective_rank,layer,head,fit_target,order,phase_chart,jet_chart,chart_scale,num_centers,num_features
1e-06,0.7182821597287364,4.235831717691948e-05,0.2408901010832261,3067619525985.607,39.552419431126935,0,0,axis_plus_residual,2,asinh,raw,2.0,8,97
0.0001,0.7182745716807597,4.23594580948771e-05,0.237017565284283,3067619525985.607,39.552419431126935,0,0,axis_plus_residual,2,asinh,raw,2.0,8,97
0.01,0.7106204093422362,4.351031682553692e-05,0.1387367668075141,3067619525985.607,39.552419431126935,0,0,axis_plus_residual,2,asinh,raw,2.0,8,97
1e-08,0.7112950926566981,4.340887330388974e-05,0.16458228429811986,2726266101169.9,42.211423283230246,0,0,axis_plus_residual,2,asinh,raw,4.0,8,97
1e-06,0.7112950926140671,4.340887331029964e-05,0.16457916078326193,2726266101169.9,42.211423283230246,0,0,axis_plus_residual,2,asinh,raw,4.0,8,97
0.0001,0.7112946693608726,4.3408936949482154e-05,0.16426821085270887,2726266101169.9,42.211423283230246,0,0,axis_plus_residual,2,asinh,raw,4.0,8,97
0.01,0.7089275965641753,4.3764843484215e-05,0.14268285503736394,2726266101169.9,42.211423283230246,0,0,axis_plus_residual,2,asinh,raw,4.0,8,97
1e-08,0.7002970604573893,4.506250708076283e-05,0.3761701427133006,2844796989299.4873,41.43446905035048,0,0,axis_plus_residual,2,asinh,raw,8.0,8,97
1e-06,0.7002970533230852,4.5062508153457094e-05,0.37594130012923127,2844796989299.4873,41.43446905035048,0,0,axis_plus_residual,2,asinh,raw,8.0,8,97
0.0001,0.7002347597323229,4.5071874445890205e-05,0.35467233767429296,2844796989299.4873,41.43446905035048,0,0,axis_plus_residual,2,asinh,raw,8.0,8,97
0.01,0.6887028415593193,4.680578184472594e-05,0.13837187936847425,2844796989299.4873,41.43446905035048,0,0,axis_plus_residual,2,asinh,raw,8.0,8,97
1e-08,0.6860464236247039,4.7205193516065415e-05,0.7829305628869284,2839514766295.7607,40.545303352449444,0,0,axis_plus_residual,2,asinh,raw,16.0,8,97
1e-06,0.686046242271776,4.720522078379129e-05,0.7801273355277912,2839514766295.7607,40.545303352449444,0,0,axis_plus_residual,2,asinh,raw,16.0,8,97
0.0001,0.6850798596685441,4.7350523405671884e-05,0.5774737939321138,2839514766295.7607,40.545303352449444,0,0,axis_plus_residual,2,asinh,raw,16.0,8,97
0.01,0.6728697441314693,4.918640268895846e-05,0.12864771562356275,2839514766295.7607,40.545303352449444,0,0,axis_plus_residual,2,asinh,raw,16.0,8,97
1e-08,0.743355327661469,3.85883848258046e-05,0.21366615608009326,2995085633707.3374,39.563205832550786,0,0,axis_plus_residual,2,asinh,bounded,2.0,8,97
1e-06,0.7433553273498266,3.858838487266229e-05,0.21364856643572697,2995085633707.3374,39.563205832550786,0,0,axis_plus_residual,2,asinh,bounded,2.0,8,97
0.0001,0.7433522982072751,3.858884032617864e-05,0.21191994443300932,2995085633707.3374,39.563205832550786,0,0,axis_plus_residual,2,asinh,bounded,2.0,8,97
0.01,0.7374172436446951,3.9481218754829155e-05,0.14940241446124788,2995085633707.3374,39.563205832550786,0,0,axis_plus_residual,2,asinh,bounded,2.0,8,97
1e-08,0.7172344651506146,4.251584564299706e-05,0.16477034534829121,2715444283934.0576,42.22929137226649,0,0,axis_plus_residual,2,asinh,bounded,4.0,8,97
1e-06,0.7172344651072187,4.2515845649521954e-05,0.16476716942469916,2715444283934.0576,42.22929137226649,0,0,axis_plus_residual,2,asinh,bounded,4.0,8,97
0.0001,0.7172340343251065,4.2515910420731786e-05,0.16445103315710294,2715444283934.0576,42.22929137226649,0,0,axis_plus_residual,2,asinh,bounded,4.0,8,97
0.01,0.7148510961357768,4.2874202432126695e-05,0.14266666900081473,2715444283934.0576,42.22929137226649,0,0,axis_plus_residual,2,asinh,bounded,4.0,8,97
1e-08,0.7011502466371538,4.493422436079512e-05,0.35508628728927727,2842079408808.2397,41.47150034221135,0,0,axis_plus_residual,2,asinh,bounded,8.0,8,97
1e-06,0.7011502412432572,4.493422517180652e-05,0.3549030146274671,2842079408808.2397,41.47150034221135,0,0,axis_plus_residual,2,asinh,bounded,8.0,8,97
0.0001,0.7011022831503492,4.494143601833524e-05,0.33770908195556815,2842079408808.2397,41.47150034221135,0,0,axis_plus_residual,2,asinh,bounded,8.0,8,97
0.01,0.6898313980018167,4.6636095211826384e-05,0.13863113788265935,2842079408808.2397,41.47150034221135,0,0,axis_plus_residual,2,asinh,bounded,8.0,8,97
