variant,basis_name,fit_target,feature_budget,num_features,effective_params,bias_mse,table_fit_r2,target_fit_r2,residual_fit_r2,axis_plus_residual_fit_r2,coeff_norm,dataset,task,teacher_basis,teacher_seed,layer,head
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,axis_plus_residual,33,33,33,0.0001416525930235711,0.8715713024139404,0.2637764879023534,0.26377642154693604,0.8715713024139404,0.1035136952996254,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,axis_plus_residual,55,55,55,0.00010262832709003505,0.9069525003433228,0.4666007462471312,0.4666007161140442,0.9069525003433228,0.1283586025238037,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,axis_plus_residual,110,109,109,9.420676525386365e-05,0.9145878553390503,0.5103708721589237,0.5103708505630493,0.9145878553390503,0.12660034000873566,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,axis_plus_residual,225,225,225,6.743376950406132e-05,0.9388614892959595,0.6495205237082952,0.6495205163955688,0.9388614892959595,0.1439432054758072,cifar10,reconstruction,relative_2d_table,477,0,1
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,full_table,5,5,5,0.001122787368591155,0.02399289608001709,0.02399286971560266,nan,nan,0.5024970173835754,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,full_table,15,15,15,0.0010463966842313716,0.09039711952209473,0.0903971192717824,nan,nan,0.5183684229850769,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,full_table,33,33,33,0.0010925634241164498,0.050265729427337646,0.05026568515495555,nan,nan,0.5055322647094727,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,full_table,55,55,55,0.00014987218551968003,0.8697203397750854,0.8697203711134928,nan,nan,0.6846105456352234,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,full_table,110,109,109,0.0009362639933265948,0.1861323118209839,0.18613233558023257,nan,nan,0.5362865924835205,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,full_table,225,225,225,5.360486291262016e-05,0.9534028172492981,0.9534028170567299,nan,nan,0.5920947194099426,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,oblique_residual,5,5,5,0.0001407017157407553,-0.9635324478149414,1.865174681370263e-14,0.0,nan,7.31224076844228e-08,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,oblique_residual,15,15,15,0.00011631988588103783,-0.9423376321792603,0.17328736704706205,0.17328739166259766,nan,0.07119772583246231,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,oblique_residual,33,33,33,0.00010108846181431942,-0.9290972948074341,0.28154066009703616,0.2815406322479248,nan,0.09103255718946457,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,oblique_residual,55,55,55,7.372463253638944e-05,-0.905310869216919,0.4760217944163053,0.47602176666259766,nan,0.12095017731189728,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,oblique_residual,110,109,109,8.417610687601157e-05,-0.9143960475921631,0.40174072197452426,0.4017407298088074,nan,0.10367254167795181,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,oblique_residual,225,225,225,3.7912948611603784e-05,-0.874180793762207,0.7305438074297674,0.7305437922477722,nan,0.12755651772022247,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,axis_plus_residual,5,5,5,0.0001407017157407553,0.8776919841766357,1.865174681370263e-14,0.0,0.8776919841766357,7.31224076844228e-08,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,axis_plus_residual,15,15,15,0.00011631988588103783,0.8988864421844482,0.17328736704706205,0.17328739166259766,0.8988864421844482,0.07119772583246231,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,axis_plus_residual,33,33,33,0.00010108846181431942,0.9121266603469849,0.28154066009703616,0.2815406322479248,0.9121266603469849,0.09103255718946457,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,axis_plus_residual,55,55,55,7.372463253638944e-05,0.9359132647514343,0.4760217944163053,0.47602176666259766,0.9359132647514343,0.12095017731189728,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,axis_plus_residual,110,109,109,8.417610687601157e-05,0.9268280863761902,0.40174072197452426,0.4017407298088074,0.9268280863761902,0.10367254167795181,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,axis_plus_residual,225,225,225,3.7912948611603784e-05,0.9670433402061462,0.7305438074297674,0.7305437922477722,0.9670433402061462,0.12755651772022247,cifar10,reconstruction,relative_2d_table,477,0,2
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,full_table,5,5,5,0.0009353593997087784,0.06352627277374268,0.06352628777013425,nan,nan,0.41795456409454346,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,full_table,15,15,15,0.0009486233479863387,0.05024653673171997,0.05024653788342848,nan,nan,0.4141715466976166,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,full_table,33,33,33,0.000184411669308071,0.81536865234375,0.8153686373503016,nan,nan,0.5785269737243652,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,full_table,55,55,55,0.00019757060558628025,0.8021939992904663,0.8021940245658601,nan,nan,0.5762955546379089,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,full_table,110,109,109,0.0008532927611258506,0.14569073915481567,0.14569069399506684,nan,nan,0.4359702169895172,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,full_table,225,225,225,5.101743868653963e-05,0.948921799659729,0.9489217832096214,nan,nan,0.5998077392578125,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,oblique_residual,5,5,5,0.00014308479041432479,-0.7121484279632568,0.01126746039882165,0.011267542839050293,nan,0.01915409415960312,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,oblique_residual,15,15,15,0.00011929638042059467,-0.6883317232131958,0.17564813956163017,0.1756482720375061,nan,0.07562584429979324,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,oblique_residual,33,33,33,9.046715449701776e-05,-0.6594681739807129,0.37486144294359913,0.3748614192008972,nan,0.09978774189949036,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,oblique_residual,55,55,55,0.00011588804940761523,-0.6849193572998047,0.19920010318058967,0.19920015335083008,nan,0.0735936313867569,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,oblique_residual,110,109,109,7.275388469907385e-05,-0.6417338848114014,0.497262196938823,0.49726223945617676,nan,0.12065750360488892,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,oblique_residual,225,225,225,5.521685521423292e-05,-0.6241759061813354,0.6184451098773571,0.6184451580047607,nan,0.12370740622282028,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,axis_plus_residual,5,5,5,0.00014308479041432479,0.8567447662353516,0.01126746039882165,0.011267542839050293,0.8567447662353516,0.01915409415960312,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,axis_plus_residual,15,15,15,0.00011929638042059467,0.8805614709854126,0.17564813956163017,0.1756482720375061,0.8805614709854126,0.07562584429979324,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,axis_plus_residual,33,33,33,9.046715449701776e-05,0.9094250798225403,0.37486144294359913,0.3748614192008972,0.9094250798225403,0.09978774189949036,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,axis_plus_residual,55,55,55,0.00011588804940761523,0.8839738965034485,0.19920010318058967,0.19920015335083008,0.8839738965034485,0.0735936313867569,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,axis_plus_residual,110,109,109,7.275388469907385e-05,0.9271594285964966,0.497262196938823,0.49726223945617676,0.9271594285964966,0.12065750360488892,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,axis_plus_residual,225,225,225,5.521685521423292e-05,0.9447173476219177,0.6184451098773571,0.6184451580047607,0.9447173476219177,0.12370740622282028,cifar10,reconstruction,relative_2d_table,477,0,3
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,full_table,5,5,5,0.0011573932583448107,0.0059860944747924805,0.0059862644771073725,nan,nan,0.47895804047584534,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,full_table,15,15,15,0.0002654140181481736,0.7720522284507751,0.7720522581780859,nan,nan,0.6536334156990051,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,full_table,33,33,33,0.000887101130776059,0.23812347650527954,0.2381235138259381,nan,nan,0.5321127772331238,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,full_table,55,55,55,0.00015795014905742942,0.8643463850021362,0.8643463519776281,nan,nan,0.6526285409927368,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,full_table,110,109,109,0.0002126023369198917,0.8174089789390564,0.8174089562221394,nan,nan,0.6026787757873535,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,full_table,225,225,225,0.00018331390876068386,0.8425629734992981,0.8425629820229832,nan,nan,0.5791895389556885,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,oblique_residual,5,5,5,0.0001897732814333635,-0.8660173416137695,0.021804734408280346,0.02180469036102295,nan,0.030851153656840324,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,oblique_residual,15,15,15,0.00012484562460380387,-0.8102550506591797,0.3564773818796818,0.3564773201942444,nan,0.1126992478966713,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,oblique_residual,33,33,33,0.00014796352599731028,-0.830109715461731,0.237315076613412,0.23731499910354614,nan,0.0800795629620552,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,oblique_residual,55,55,55,0.00011268801201912508,-0.7998137474060059,0.41914436524744847,0.41914433240890503,nan,0.13192622363567352,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,oblique_residual,110,109,109,8.519700510020302e-05,-0.7762033939361572,0.5608480477222726,0.5608479976654053,nan,0.12724728882312775,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,oblique_residual,225,225,225,0.0001039477201519874,-0.7923072576522827,0.4641966089550329,0.4641965627670288,nan,0.12277097254991531,cifar10,reconstruction,relative_2d_table,477,0,4
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,axis_plus_residual,5,5,5,0.0001897732814333635,0.8370153903961182,0.021804734408280346,0.02180469036102295,0.8370153903961182,0.030851153656840324,cifar10,reconstruction,relative_2d_table,477,0,4
