variant,fit_target,feature_budget,n,table_fit_r2_mean,table_fit_r2_std,residual_fit_r2_mean,residual_fit_r2_std,num_features
axis_plus_toric_residual_R1,axis_plus_residual,33,48,0.8049874901771545,0.12321427464485168,0.1695166975259781,0.0710468515753746,11
axis_plus_toric_residual_R1,axis_plus_residual,55,48,0.8049874901771545,0.12321427464485168,0.1695166975259781,0.0710468515753746,21
axis_plus_toric_residual_R1,axis_plus_residual,110,48,0.8656719326972961,0.09789274632930756,0.43845057487487793,0.12950463593006134,81
axis_plus_toric_residual_R1,axis_plus_residual,225,48,0.9148610234260559,0.07616626471281052,0.6625556945800781,0.11601679027080536,191
axis_plus_toric_residual_R1,full_table,5,48,0.5027515888214111,0.18108025193214417,nan,nan,11
axis_plus_toric_residual_R1,full_table,15,48,0.5027515888214111,0.18108025193214417,nan,nan,11
axis_plus_toric_residual_R1,full_table,33,48,0.5027515888214111,0.18108025193214417,nan,nan,11
axis_plus_toric_residual_R1,full_table,55,48,0.5027515888214111,0.18108025193214417,nan,nan,21
axis_plus_toric_residual_R1,full_table,110,48,0.7602145671844482,0.133645161986351,nan,nan,81
axis_plus_toric_residual_R1,full_table,225,48,0.8674350380897522,0.08961617946624756,nan,nan,191
axis_plus_toric_residual_R1,oblique_residual,5,48,-0.6835668087005615,0.5893200635910034,0.1695166975259781,0.0710468515753746,11
axis_plus_toric_residual_R1,oblique_residual,15,48,-0.6835668087005615,0.5893200635910034,0.1695166975259781,0.0710468515753746,11
axis_plus_toric_residual_R1,oblique_residual,33,48,-0.6835668087005615,0.5893200635910034,0.1695166975259781,0.0710468515753746,11
axis_plus_toric_residual_R1,oblique_residual,55,48,-0.6835668087005615,0.5893200635910034,0.1695166975259781,0.0710468515753746,21
axis_plus_toric_residual_R1,oblique_residual,110,48,-0.6220234036445618,0.5779761672019958,0.43845057487487793,0.12950463593006134,81
axis_plus_toric_residual_R1,oblique_residual,225,48,-0.5687606334686279,0.5763271450996399,0.6625556945800781,0.11601679027080536,191
axis_plus_toric_residual_R2,axis_plus_residual,5,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,axis_plus_residual,15,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,axis_plus_residual,33,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,axis_plus_residual,55,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,axis_plus_residual,110,48,0.8589010834693909,0.10315059125423431,0.41676580905914307,0.13322944939136505,73
axis_plus_toric_residual_R2,axis_plus_residual,225,48,0.9059133529663086,0.07935639470815659,0.6203424334526062,0.13160982728004456,181
axis_plus_toric_residual_R2,full_table,5,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_toric_residual_R2,full_table,15,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_toric_residual_R2,full_table,33,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_toric_residual_R2,full_table,55,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_toric_residual_R2,full_table,110,48,0.7125012874603271,0.15040932595729828,nan,nan,73
axis_plus_toric_residual_R2,full_table,225,48,0.8454103469848633,0.1111694723367691,nan,nan,181
axis_plus_toric_residual_R2,oblique_residual,5,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,oblique_residual,15,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,oblique_residual,33,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,oblique_residual,55,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,oblique_residual,110,48,-0.6233729720115662,0.5859932899475098,0.41676580905914307,0.13322944939136505,73
axis_plus_toric_residual_R2,oblique_residual,225,48,-0.5755323767662048,0.5770406723022461,0.6203424334526062,0.13160982728004456,181
fixed_toric_PJ_R2,axis_plus_residual,5,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,axis_plus_residual,15,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,axis_plus_residual,33,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,axis_plus_residual,55,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,axis_plus_residual,110,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,axis_plus_residual,225,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,full_table,5,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,full_table,15,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,full_table,33,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,full_table,55,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,full_table,110,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,full_table,225,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,oblique_residual,5,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,oblique_residual,15,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,oblique_residual,33,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,oblique_residual,55,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,oblique_residual,110,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,oblique_residual,225,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
pruned_toric_PJ,axis_plus_residual,5,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,axis_plus_residual,15,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,axis_plus_residual,33,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,axis_plus_residual,55,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,axis_plus_residual,110,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,axis_plus_residual,225,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,full_table,5,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,full_table,15,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,full_table,33,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,full_table,55,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,full_table,110,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,full_table,225,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,oblique_residual,5,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,oblique_residual,15,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,oblique_residual,33,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,oblique_residual,55,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,oblique_residual,110,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,oblique_residual,225,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
random_spectral_atoms_matched_radius,axis_plus_residual,5,48,0.7825319170951843,0.13088585436344147,0.06702370196580887,0.06345509737730026,5
random_spectral_atoms_matched_radius,axis_plus_residual,15,48,0.8126021027565002,0.11540702730417252,0.18017007410526276,0.11215284466743469,15
random_spectral_atoms_matched_radius,axis_plus_residual,33,48,0.8417181968688965,0.0989764854311943,0.3129725456237793,0.10665708035230637,33
random_spectral_atoms_matched_radius,axis_plus_residual,55,48,0.8507788777351379,0.09983242303133011,0.361709326505661,0.11032109707593918,55
random_spectral_atoms_matched_radius,axis_plus_residual,110,48,0.8866353631019592,0.07333806902170181,0.5186720490455627,0.08578598499298096,109
random_spectral_atoms_matched_radius,axis_plus_residual,225,48,0.915354311466217,0.07192008942365646,0.649387776851654,0.11530394107103348,225
random_spectral_atoms_matched_radius,full_table,5,48,0.1251341551542282,0.1815415918827057,nan,nan,5
random_spectral_atoms_matched_radius,full_table,15,48,0.29707127809524536,0.23138952255249023,nan,nan,15
random_spectral_atoms_matched_radius,full_table,33,48,0.394375205039978,0.2311507612466812,nan,nan,33
random_spectral_atoms_matched_radius,full_table,55,48,0.49150970578193665,0.23871466517448425,nan,nan,55
random_spectral_atoms_matched_radius,full_table,110,48,0.5497992038726807,0.24193164706230164,nan,nan,109
random_spectral_atoms_matched_radius,full_table,225,48,0.7318891882896423,0.21859480440616608,nan,nan,225
random_spectral_atoms_matched_radius,oblique_residual,5,48,-0.6981978416442871,0.5805536508560181,0.06702370196580887,0.06345509737730026,5
random_spectral_atoms_matched_radius,oblique_residual,15,48,-0.668127715587616,0.5801636576652527,0.18017007410526276,0.11215284466743469,15
random_spectral_atoms_matched_radius,oblique_residual,33,48,-0.639011561870575,0.5797457098960876,0.3129725456237793,0.10665708035230637,33
random_spectral_atoms_matched_radius,oblique_residual,55,48,-0.6299509406089783,0.5710442066192627,0.361709326505661,0.11032109707593918,55
random_spectral_atoms_matched_radius,oblique_residual,110,48,-0.594094455242157,0.5706736445426941,0.5186720490455627,0.08578598499298096,109
random_spectral_atoms_matched_radius,oblique_residual,225,48,-0.5653754472732544,0.5660103559494019,0.649387776851654,0.11530394107103348,225
table_informed_toric_PJ_R0,axis_plus_residual,5,48,0.7936626076698303,0.1274009644985199,0.11782822012901306,0.05415274202823639,5
table_informed_toric_PJ_R0,axis_plus_residual,15,48,0.8420186042785645,0.10323208570480347,0.3235481083393097,0.10219566524028778,15
table_informed_toric_PJ_R0,axis_plus_residual,33,48,0.8723311424255371,0.08732384443283081,0.4559697210788727,0.10074350982904434,33
table_informed_toric_PJ_R0,axis_plus_residual,55,48,0.900618851184845,0.07269987463951111,0.5820559859275818,0.09117431193590164,55
table_informed_toric_PJ_R0,axis_plus_residual,110,48,0.9390003085136414,0.049099307507276535,0.7483962178230286,0.0670173317193985,109
table_informed_toric_PJ_R0,axis_plus_residual,225,48,0.9825323224067688,0.015448127873241901,0.9284464716911316,0.0261574387550354,225
table_informed_toric_PJ_R0,full_table,5,48,0.4255983531475067,0.18433235585689545,nan,nan,5
table_informed_toric_PJ_R0,full_table,15,48,0.651634156703949,0.14630290865898132,nan,nan,15
table_informed_toric_PJ_R0,full_table,33,48,0.7610083222389221,0.1200605258345604,nan,nan,33
table_informed_toric_PJ_R0,full_table,55,48,0.8371003270149231,0.09469657391309738,nan,nan,55
table_informed_toric_PJ_R0,full_table,110,48,0.9044919610023499,0.06640113145112991,nan,nan,109
table_informed_toric_PJ_R0,full_table,225,48,0.9676787853240967,0.025755900889635086,nan,nan,225
table_informed_toric_PJ_R0,oblique_residual,5,48,-0.6870670914649963,0.5802201628684998,0.11782822012901306,0.05415274202823639,5
