basis,num_features,r2,mse,condition,coeff_norm,order0_energy,order1_energy,order2_energy,source,table_id,target_std,target_norm
fft_top36_J0,73,0.9311332106590271,1.58512411871925e-05,1.0000032186508179,0.020703664049506187,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H3,0.01517143752425909,0.6257184147834778
fft_top36_J1,217,0.9753493666648865,5.673894065694185e-06,67501920.0,0.6451831459999084,10.834794044494629,10.461077690124512,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H3,0.01517143752425909,0.6257184147834778
fft_top36_J2,433,0.9897472262382507,2.3599020551046124e-06,35203338240.0,3.094531536102295,53.42046356201172,37.2088508605957,37.52793884277344,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H3,0.01517143752425909,0.6257184147834778
fft_top36_J2_coord_shuffle,433,0.15217453241348267,0.00019514613086357713,107042384.0,3.043043851852417,71.85960388183594,96.00314331054688,99.7633056640625,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H3,0.01517143752425909,0.6257184147834778
dct_top13,13,0.8609040379524231,3.20160725095775e-05,1.0000032186508179,0.02312212809920311,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H3,0.01517143752425909,0.6257184147834778
dct_top73,73,0.9609890580177307,8.97924110176973e-06,1.0000030994415283,0.024774547666311264,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seed426_2k/bias_exports/relative_2d_table_seed426/bias_tables.npz,L0H3,0.01517143752425909,0.6257184147834778
constant,1,0.0,0.00019847022485919297,1.0,1.6583255879609737e-09,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
fft_top36_J0,73,0.9415202140808105,1.1606496627791785e-05,1.0000030994415283,0.01933201588690281,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
fft_top36_J1,217,0.9788448810577393,4.198656370135723e-06,439043264.0,0.8601299524307251,16.78821563720703,16.889724731445312,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
fft_top36_J2,433,0.9886623620986938,2.250189254482393e-06,282799904.0,5.73380708694458,50.087276458740234,84.36139678955078,85.37130737304688,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
fft_top36_J2_coord_shuffle,433,0.13742172718048096,0.00017119610856752843,733628864.0,6.399387359619141,298.0690002441406,245.79736328125,371.85504150390625,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
dct_top13,13,0.8688093423843384,2.6037436327897012e-05,1.0000032186508179,0.02114626206457615,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
dct_top73,73,0.9664459824562073,6.659473456238629e-06,1.0000027418136597,0.022667620331048965,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,mean,0.014087946154177189,0.5810316801071167
constant,1,0.0,0.00017843031673692167,1.0,1.318192444088595e-09,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,0.013357781805098057,0.5509174466133118
fft_top36_J0,73,0.9099091291427612,1.607494596100878e-05,1.000003457069397,0.018019719049334526,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,0.013357781805098057,0.5509174466133118
fft_top36_J1,217,0.9730395674705505,4.810562131751794e-06,55029984.0,0.9805052876472473,16.432575225830078,16.582605361938477,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,0.013357781805098057,0.5509174466133118
fft_top36_J2,433,0.9859766364097595,2.5021959118021186e-06,282087296.0,4.087038040161133,52.767601013183594,39.787410736083984,54.69828796386719,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,0.013357781805098057,0.5509174466133118
fft_top36_J2_coord_shuffle,433,0.14580732583999634,0.00015241386427078396,5463154176.0,2.554213285446167,51.58940124511719,85.83101654052734,99.57939147949219,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,0.013357781805098057,0.5509174466133118
dct_top13,13,0.7959953546524048,3.6400608223630115e-05,1.0000030994415283,0.01955365389585495,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,0.013357781805098057,0.5509174466133118
dct_top73,73,0.9474682807922363,9.373248758492991e-06,1.0000027418136597,0.021797632798552513,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H0,0.013357781805098057,0.5509174466133118
constant,1,0.0,0.00018491438822820783,1.0,1.9476505130899824e-10,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,0.013598322868347168,0.5608381032943726
fft_top36_J0,73,0.9130690097808838,1.6074785889941268e-05,1.0000030994415283,0.01837604120373726,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,0.013598322868347168,0.5608381032943726
fft_top36_J1,217,0.9777430891990662,4.11562768931617e-06,25233244.0,1.8166093826293945,39.5756721496582,39.6032829284668,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,0.013598322868347168,0.5608381032943726
fft_top36_J2,433,0.9900000095367432,1.8491430182621116e-06,133301368.0,1.6378462314605713,23.524654388427734,19.88408660888672,24.307641983032227,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,0.013598322868347168,0.5608381032943726
fft_top36_J2_coord_shuffle,433,0.14011651277542114,0.0001590048341313377,79191008.0,2.4744620323181152,55.54847717285156,95.34608459472656,95.8995361328125,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,0.013598322868347168,0.5608381032943726
dct_top13,13,0.8446091413497925,2.873400808311999e-05,1.0000027418136597,0.02032831311225891,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,0.013598322868347168,0.5608381032943726
dct_top73,73,0.9507967233657837,9.098391274164896e-06,1.0000028610229492,0.021942703053355217,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H1,0.013598322868347168,0.5608381032943726
constant,1,0.0,0.0002687911328393966,1.0,2.5845181550465668e-09,1.0,0.0,0.0,MetricToric/results/v17_nsynth_relative_teacher_seeds526626_2k/bias_exports/relative_2d_table_seed526/bias_tables.npz,L0H2,0.016394849866628647,0.6761757731437683
